split,domain,sample_id,boundary_density,total_components,present_class_count,building_components,road_components,building_mean_component_area,road_mean_component_area,thin_class_components
Train,Rural,1043,0.00964678,78,6,36,3,2670.472222,4150.333333,39
Train,Rural,1044,0.01347427,127,6,1,3,1101.0,6159.666667,4
Train,Rural,1045,0.00458307,21,6,1,2,600.0,16363.0,3
Train,Rural,1046,0.00325855,14,4,8,0,5935.25,0.0,8
Train,Rural,1047,0.00611473,42,3,23,0,6584.391304,0.0,23
Train,Rural,1048,0.00433821,117,5,2,2,1058.0,4793.0,4
Train,Rural,1049,0.00227196,8,4,0,2,0.0,18966.0,2
Train,Rural,105,0.00585938,86,7,3,2,1960.333333,11977.0,5
Train,Rural,1051,0.01013028,129,6,0,1,0.0,4727.0,1
Train,Rural,1052,0.00876615,79,7,13,1,7619.384615,38404.0,14
Train,Rural,1053,0.00502982,22,4,0,1,0.0,3287.0,1
Train,Rural,1054,0.00186339,84,3,0,0,0.0,0.0,0
Train,Rural,1055,0.00694715,31,5,2,0,1345.5,0.0,2
Train,Rural,1056,0.00413058,15,6,2,1,4592.0,15531.0,3
Train,Rural,1057,0.00677484,17,3,0,0,0.0,0.0,0
Train,Rural,1058,0.00794805,33,6,7,1,4184.142857,225.0,8
Train,Rural,1059,0.00923105,51,6,0,1,0.0,20324.0,1
Train,Rural,106,0.01944438,241,6,39,2,7217.282051,30313.5,41
Train,Rural,1060,0.00401078,14,4,0,2,0.0,60409.0,2
Train,Rural,1061,0.00026108,3,2,0,1,0.0,2679.0,1
Train,Rural,1062,0.001409,5,3,2,0,4833.0,0.0,2
Train,Rural,1063,0.00790701,55,7,7,2,1011.0,6521.0,9
Train,Rural,1064,0.0071123,29,6,3,0,1251.333333,0.0,3
Train,Rural,1065,0.00637009,65,5,0,1,0.0,1195.0,1
Train,Rural,1066,0.0038757,18,3,5,0,7582.0,0.0,5
Train,Rural,1067,0.00528327,32,5,9,0,30229.555556,0.0,9
Train,Rural,1068,0.00265762,49,3,0,0,0.0,0.0,0
Train,Rural,1069,0.00342083,9,4,0,0,0.0,0.0,0
Train,Rural,107,0.00821343,31,6,1,5,2416.0,39992.6,6
Train,Rural,1070,0.00713091,21,5,2,2,5187.0,43340.5,4
Train,Rural,1071,0.00867403,50,6,16,1,3540.4375,19337.0,17
Train,Rural,1072,0.00329339,59,5,1,1,3941.0,5530.0,2
Train,Rural,1073,0.00910456,62,4,28,0,3571.964286,0.0,28
Train,Rural,1074,0.00278745,19,6,1,0,407.0,0.0,1
Train,Rural,1075,0.0014973,10,5,0,1,0.0,16721.0,1
Train,Rural,1076,0.00477685,37,5,0,1,0.0,9447.0,1
Train,Rural,1077,0.00612762,50,6,13,0,2991.307692,0.0,13
Train,Rural,1078,0.0008539,3,2,0,1,0.0,8155.0,1
Train,Rural,1079,0.00693092,36,4,0,2,0.0,57535.0,2
Train,Rural,1080,0.00805449,65,4,11,0,5908.272727,0.0,11
Train,Rural,1081,0.00162331,8,5,2,1,1354.5,19848.0,3
Train,Rural,1082,0.00923534,45,6,3,1,2358.333333,21383.0,4
Train,Rural,1083,0.00862248,82,7,11,1,3571.909091,36095.0,12
Train,Rural,1084,0.00598634,43,4,25,0,4732.16,0.0,25
Train,Rural,1085,0.00768983,42,6,1,0,6973.0,0.0,1
Train,Rural,1087,0.00365662,10,3,5,0,75947.8,0.0,5
Train,Rural,1088,0.00701779,55,6,17,0,10184.647059,0.0,17
Train,Rural,1089,0.00682066,43,5,8,0,2489.875,0.0,8
Train,Rural,109,0.00748889,29,7,9,2,3669.666667,50042.5,11
Train,Rural,1091,0.00340508,16,4,5,5,1950.4,9857.4,10
Train,Rural,1092,0.01196933,88,7,9,1,1221.333333,11090.0,10
Train,Rural,1093,0.00161901,22,4,1,0,15752.0,0.0,1
Train,Rural,1094,0.00669991,21,6,7,2,2939.285714,3888.0,9
Train,Rural,1095,0.01071164,92,6,3,4,2134.666667,30846.75,7
Train,Rural,1096,0.01182185,112,7,2,2,8298.0,21222.0,4
Train,Rural,1097,0.00456827,11,4,0,3,0.0,21741.0,3
Train,Rural,1098,0.00935371,39,7,2,2,1088.0,6898.0,4
Train,Rural,1099,0.00993316,103,6,2,2,900.0,16109.5,4
Train,Rural,11,0.01208771,70,7,12,1,3649.25,138420.0,13
Train,Rural,110,0.00366808,13,5,1,0,11.0,0.0,1
Train,Rural,1100,0.00362846,32,5,0,1,0.0,17100.0,1
Train,Rural,1101,0.00224905,11,4,0,0,0.0,0.0,0
Train,Rural,1102,0.01139752,59,7,1,1,1515.0,44262.0,2
Train,Rural,1103,0.00449095,27,4,0,2,0.0,2425.0,2
Train,Rural,1104,0.00768745,36,6,8,1,3300.75,26952.0,9
Train,Rural,1105,0.01036894,183,7,6,1,1262.5,47631.0,7
Train,Rural,1106,0.00063052,3,3,0,0,0.0,0.0,0
Train,Rural,1107,0.00899239,113,7,18,3,919.944444,7768.333333,21
Train,Rural,1109,0.0028538,10,3,0,0,0.0,0.0,0
Train,Rural,1110,0.0053205,32,6,3,0,799.333333,0.0,3
Train,Rural,1111,0.00451195,28,6,4,1,2332.0,7212.0,5
Train,Rural,1112,0.00237983,26,4,0,1,0.0,922.0,1
Train,Rural,1113,0.00849886,91,7,17,3,1695.941176,2983.0,20
Train,Rural,1114,0.00602882,186,7,1,1,1166.0,29156.0,2
Train,Rural,1115,0.00564029,29,4,0,2,0.0,10025.5,2
Train,Rural,1117,0.00798958,41,7,8,1,3028.625,67590.0,9
Train,Rural,1118,0.00623931,55,5,8,4,10208.25,2723.0,12
Train,Rural,1119,0.00322084,13,5,2,1,1803.5,39277.0,3
Train,Rural,112,0.00430671,44,4,17,0,4450.176471,0.0,17
Train,Rural,1120,0.00648798,38,6,1,2,1370.0,7627.0,3
Train,Rural,1121,0.0081342,72,4,68,0,2442.441176,0.0,68
Train,Rural,1122,0.00274783,22,7,2,1,1852.5,485.0,3
Train,Rural,1125,0.00919859,50,7,11,1,1265.818182,14036.0,12
Train,Rural,1126,0.00740488,53,5,18,0,2795.277778,0.0,18
Train,Rural,1127,0.01594766,98,7,19,3,1230.578947,11914.333333,22
Train,Rural,1128,0.00401889,22,5,5,1,2767.6,4836.0,6
Train,Rural,113,0.00336165,17,4,0,0,0.0,0.0,0
Train,Rural,1130,0.00602691,46,4,0,0,0.0,0.0,0
Train,Rural,1131,0.00797431,41,5,0,1,0.0,1387.0,1
Train,Rural,1132,0.00387857,16,4,9,0,21395.444444,0.0,9
Train,Rural,1133,0.00483508,19,5,9,2,3938.888889,42567.5,11
Train,Rural,1134,0.00526752,31,5,7,1,1471.142857,24603.0,8
Train,Rural,1135,0.0186239,149,7,94,1,1605.244681,24965.0,95
Train,Rural,1136,0.00980954,82,7,14,1,10510.071429,63066.0,15
Train,Rural,1138,0.00601736,54,6,1,1,241.0,8020.0,2
Train,Rural,1139,0.00664645,49,4,0,0,0.0,0.0,0
Train,Rural,114,0.00348097,74,5,1,1,891.0,14967.0,2
Train,Rural,1142,0.00627892,59,5,1,1,30.0,44819.0,2
Train,Rural,1143,0.0069567,52,6,1,2,1694.0,13072.5,3
Train,Rural,1145,0.00658201,42,6,2,2,239.0,7137.0,4
Train,Rural,1146,0.00691517,44,5,0,0,0.0,0.0,0
Train,Rural,1147,0.0055749,26,5,8,1,15851.5,8544.0,9
Train,Rural,1148,0.00451815,14,5,0,3,0.0,41603.666667,3
Train,Rural,1149,0.00610328,16,4,0,0,0.0,0.0,0
Train,Rural,115,0.00615005,24,4,0,1,0.0,23113.0,1
Train,Rural,1150,0.00276263,9,4,2,0,1107.5,0.0,2
Train,Rural,1151,0.00246193,13,3,0,0,0.0,0.0,0
Train,Rural,1152,0.01181946,160,7,26,1,2995.730769,27488.0,27
Train,Rural,1153,0.00833897,52,6,1,1,1363.0,31504.0,2
Train,Rural,1154,0.00746407,26,5,1,0,596.0,0.0,1
Train,Rural,1155,0.00938426,51,7,35,2,4364.885714,18554.0,37
Train,Rural,1156,0.00555915,93,6,5,2,1016.2,20017.0,7
Train,Rural,1157,0.00554054,83,6,4,3,13435.75,4723.0,7
Train,Rural,1158,0.00292253,18,4,6,0,26567.666667,0.0,6
Train,Rural,116,0.00895516,57,6,12,4,3523.0,6423.5,16
Train,Rural,1160,0.00490047,44,5,7,0,810.0,0.0,7
Train,Rural,1161,0.00696242,23,4,9,0,9371.888889,0.0,9
Train,Rural,1162,0.00617774,122,5,3,0,3798.666667,0.0,3
Train,Rural,1163,0.00225669,6,3,0,0,0.0,0.0,0
Train,Rural,1164,0.00520165,50,6,1,3,800.0,4702.0,4
Train,Rural,1165,0.0051606,19,5,3,0,2237.666667,0.0,3
Train,Rural,1166,0.0,1,1,0,0,0.0,0.0,0
Train,Rural,1167,0.00024581,2,2,0,0,0.0,0.0,0
Train,Rural,1168,0.01794469,171,6,33,2,6783.121212,20915.5,35
Train,Rural,1169,0.00372297,13,4,2,0,67107.5,0.0,2
Train,Rural,1170,0.00226719,13,5,0,0,0.0,0.0,0
Train,Rural,1171,0.0066832,21,4,0,1,0.0,35529.0,1
Train,Rural,1172,0.00743686,57,6,2,3,1368.5,3761.666667,5
Train,Rural,1173,0.00645553,39,7,2,2,1546.5,4972.5,4
Train,Rural,1174,0.01066773,78,7,22,2,890.863636,6233.0,24
Train,Rural,1175,0.0054804,15,4,2,0,2756.5,0.0,2
Train,Rural,1176,0.00214261,68,6,1,2,21.0,3963.0,3
Train,Rural,1177,0.01028302,77,6,9,2,11644.555556,12858.0,11
Train,Rural,1178,0.00258078,19,4,3,0,6543.0,0.0,3
Train,Rural,1179,0.0039158,17,6,1,2,2519.0,40461.0,3
Train,Rural,118,0.00388716,14,4,11,0,24318.0,0.0,11
Train,Rural,1180,0.00018233,3,2,0,0,0.0,0.0,0
Train,Rural,1181,0.00443749,40,4,0,0,0.0,0.0,0
Train,Rural,1183,0.01080853,170,7,6,1,6324.166667,26715.0,7
Train,Rural,1184,0.00635577,50,5,0,2,0.0,7511.5,2
Train,Rural,1185,0.00740297,64,5,4,2,1589.0,22290.5,6
Train,Rural,1186,0.00156794,5,4,0,1,0.0,13113.0,1
Train,Rural,1187,0.00197985,20,5,2,0,9159.0,0.0,2
Train,Rural,1188,0.00273017,18,3,0,0,0.0,0.0,0
Train,Rural,1189,0.00455968,28,5,2,2,3958.5,10398.0,4
Train,Rural,119,0.00298553,21,4,4,3,1513.0,3908.0,7
Train,Rural,1190,0.00809172,72,5,0,1,0.0,13021.0,1
Train,Rural,1192,0.00854946,43,6,9,1,3372.888889,31253.0,10
Train,Rural,1193,0.00683641,235,4,0,1,0.0,24859.0,1
Train,Rural,1194,0.0048809,11,4,0,2,0.0,38290.0,2
Train,Rural,1195,0.00543076,28,7,1,2,664.0,2628.0,3
Train,Rural,1196,0.00581069,25,7,2,1,9163.0,7637.0,3
Train,Rural,1197,0.00833276,61,7,3,1,984.333333,29455.0,4
Train,Rural,1198,0.00704738,33,4,0,2,0.0,8717.5,2
Train,Rural,1199,0.00614194,20,3,0,0,0.0,0.0,0
Train,Rural,12,0.00327526,29,4,0,1,0.0,5477.0,1
Train,Rural,120,0.00724737,44,5,2,2,70732.5,13039.5,4
Train,Rural,1200,0.00483126,27,5,2,4,2218.5,7669.25,6
Train,Rural,1201,0.0,1,1,0,0,0.0,0.0,0
Train,Rural,1202,0.00757814,69,6,13,3,5688.230769,8640.333333,16
Train,Rural,1203,0.00649801,42,5,9,1,1004.111111,12816.0,10
Train,Rural,1204,0.00375542,13,4,0,1,0.0,11547.0,1
Train,Rural,1206,0.00737052,36,7,2,1,485.5,2942.0,3
Train,Rural,1207,0.00074173,2,2,0,0,0.0,0.0,0
Train,Rural,1208,0.00435873,43,5,10,3,1248.8,3645.666667,13
Train,Rural,1209,0.00571618,59,7,2,2,660.5,6810.0,4
Train,Rural,121,0.00159037,21,5,2,0,1842.5,0.0,2
Train,Rural,1210,0.0061596,29,6,12,2,5657.166667,9582.5,14
Train,Rural,1212,0.00557729,26,6,4,2,898.5,4518.0,6
Train,Rural,1213,0.01517061,104,7,7,2,3630.285714,14896.5,9
Train,Rural,1214,0.00503603,30,5,10,0,5155.0,0.0,10
Train,Rural,1215,0.00232351,9,4,2,0,2922.0,0.0,2
Train,Rural,1216,0.0055391,24,5,1,0,880.0,0.0,1
Train,Rural,1217,0.0011546,3,2,0,0,0.0,0.0,0
Train,Rural,1218,0.00521645,18,6,1,2,674.0,11021.5,3
Train,Rural,1219,0.00766835,91,7,10,2,5247.3,2833.5,12
Train,Rural,122,0.00776095,28,5,0,1,0.0,28157.0,1
Train,Rural,1220,0.00637248,16,4,1,0,368.0,0.0,1
Train,Rural,1221,0.00311106,18,4,3,0,1238.666667,0.0,3
Train,Rural,1222,0.00250489,8,4,0,0,0.0,0.0,0
Train,Rural,1223,0.00413679,38,4,0,2,0.0,11508.0,2
Train,Rural,1224,0.00438451,31,5,0,0,0.0,0.0,0
Train,Rural,1225,0.01431576,114,6,49,1,1634.918367,19906.0,50
Train,Rural,1227,0.008801,131,5,10,1,3192.9,41889.0,11
Train,Rural,1228,0.00960334,81,6,0,2,0.0,13574.5,2
Train,Rural,1229,0.00427807,26,5,8,5,4213.0,2371.2,13
Train,Rural,123,0.00807263,97,7,24,1,2513.833333,15802.0,25
Train,Rural,1230,0.00137845,11,2,0,0,0.0,0.0,0
Train,Rural,1231,0.00830412,69,7,13,1,2748.307692,28438.0,14
Train,Rural,1232,0.00734761,27,5,0,3,0.0,12475.333333,3
Train,Rural,1233,0.00754282,33,7,7,1,1981.857143,65869.0,8
Train,Rural,1234,0.00295498,38,5,2,2,11883.5,14952.0,4
Train,Rural,1235,0.00859814,55,5,3,1,7762.666667,41138.0,4
Train,Rural,1236,0.00389957,18,6,0,1,0.0,1530.0,1
Train,Rural,1237,0.00271586,6,3,0,0,0.0,0.0,0
Train,Rural,1238,0.00326428,28,4,1,0,2138.0,0.0,1
Train,Rural,1239,0.01179846,52,6,10,4,9766.3,45629.75,14
Train,Rural,124,0.00995607,40,6,15,1,929.4,40624.0,16
Train,Rural,1240,0.00789937,41,5,15,2,3910.2,38344.5,17
Train,Rural,1241,0.00889264,37,6,3,1,12151.0,20263.0,4
Train,Rural,1242,0.00401126,23,4,9,0,17591.333333,0.0,9
Train,Rural,1243,0.00609946,34,5,9,1,2181.0,1022.0,10
Train,Rural,1244,0.00256503,12,5,2,0,3352.5,0.0,2
Train,Rural,1245,0.00577394,30,5,0,0,0.0,0.0,0
Train,Rural,1246,0.00755094,33,7,2,1,2779.5,8220.0,3
Train,Rural,1247,0.01186146,90,7,18,1,6707.944444,16081.0,19
Train,Rural,1248,0.00679298,126,6,17,2,3573.588235,6746.5,19
Train,Rural,1249,0.00598681,46,5,12,0,6638.833333,0.0,12
Train,Rural,125,0.00508328,62,6,3,1,2345.666667,840.0,4
Train,Rural,1250,0.00589088,21,5,0,2,0.0,46428.5,2
Train,Rural,1251,0.00825544,64,7,8,1,1613.125,36999.0,9
Train,Rural,1252,0.00448904,21,6,0,1,0.0,16198.0,1
Train,Rural,1253,0.0,1,1,0,0,0.0,0.0,0
Train,Rural,1254,0.00624217,21,5,1,0,7422.0,0.0,1
Train,Rural,1255,0.00214882,7,4,1,0,1627.0,0.0,1
Train,Rural,1256,0.00529138,131,6,1,1,2079.0,95211.0,2
Train,Rural,1257,0.00569136,27,4,20,0,5739.45,0.0,20
Train,Rural,1258,0.00579017,20,4,0,0,0.0,0.0,0
Train,Rural,126,0.00165767,4,3,2,0,17138.0,0.0,2
Train,Rural,1260,0.0037139,21,4,0,3,0.0,6563.333333,3
Train,Rural,1261,0.00612523,39,6,2,1,4411.5,29448.0,3
Train,Rural,1262,0.00261228,13,4,0,0,0.0,0.0,0
Train,Rural,1263,0.01046392,68,6,0,2,0.0,2815.5,2
Train,Rural,1264,0.00854659,49,5,17,1,2340.058824,34035.0,18
Train,Rural,1266,0.00618967,25,6,2,2,2820.0,3779.5,4
Train,Rural,1267,0.00469285,40,5,0,1,0.0,5367.0,1
Train,Rural,1268,0.0039053,17,6,4,2,9108.25,589.5,6
Train,Rural,1269,0.01106103,39,5,3,22,749.0,13826.181818,25
Train,Rural,127,0.00467423,34,6,2,0,1004.0,0.0,2
Train,Rural,1270,0.00771179,53,6,6,5,16954.0,1489.8,11
Train,Rural,1271,0.00089733,3,2,0,0,0.0,0.0,0
Train,Rural,1272,0.01039471,63,6,0,1,0.0,15956.0,1
Train,Rural,1273,0.01137605,83,7,24,1,1021.083333,26681.0,25
Train,Rural,1274,0.0061806,41,4,0,0,0.0,0.0,0
Train,Rural,1275,0.01271059,183,7,26,1,3907.384615,39998.0,27
Train,Rural,1276,0.00747457,56,7,4,3,882.5,7244.0,7
Train,Rural,1277,0.00368001,16,4,0,0,0.0,0.0,0
Train,Rural,1278,0.00451958,34,6,1,4,777.0,19447.5,5
Train,Rural,1279,0.0027569,11,4,2,0,414.5,0.0,2
Train,Rural,128,0.00324089,9,3,0,0,0.0,0.0,0
Train,Rural,1280,0.00326714,22,5,0,1,0.0,22316.0,1
Train,Rural,1281,0.005741,72,5,0,1,0.0,4862.0,1
Train,Rural,1282,0.00481933,38,4,22,0,1837.818182,0.0,22
Train,Rural,1283,0.00989354,144,5,11,2,3991.727273,19925.0,13
Train,Rural,1284,0.00656769,43,4,9,0,5475.111111,0.0,9
Train,Rural,1285,0.00329864,34,4,0,0,0.0,0.0,0
Train,Rural,1286,0.0011966,5,2,0,0,0.0,0.0,0
Train,Rural,1287,0.0090764,48,7,4,2,1124.5,15679.5,6
Train,Rural,1288,0.01060329,76,7,2,8,1796.0,2285.375,10
Train,Rural,1289,0.00859719,22,5,0,2,0.0,3122.5,2
Train,Rural,129,0.00498925,23,5,9,0,9116.555556,0.0,9
Train,Rural,1290,0.0057348,30,5,2,1,2803.5,183188.0,3
Train,Rural,1291,0.0079619,80,7,6,1,1627.5,120273.0,7
Train,Rural,1292,0.00831796,62,6,10,1,13016.2,29042.0,11
Train,Rural,1293,0.00134027,4,3,0,0,0.0,0.0,0
Train,Rural,1294,0.00304663,8,3,0,0,0.0,0.0,0
Train,Rural,1295,0.00827596,162,5,0,1,0.0,43883.0,1
Train,Rural,1296,0.0074908,55,3,29,0,12345.172414,0.0,29
Train,Rural,1297,0.0012114,5,3,0,0,0.0,0.0,0
Train,Rural,1298,0.00766406,28,5,2,2,4374.5,8097.5,4
Train,Rural,1299,0.00856043,38,7,5,2,4241.0,20487.0,7
Train,Rural,13,0.00121378,7,4,0,0,0.0,0.0,0
Train,Rural,130,0.00731945,49,7,3,2,2819.333333,8693.0,5
Train,Rural,1300,0.00543076,25,4,5,0,12739.4,0.0,5
Train,Rural,1301,0.00774425,97,6,3,1,1849.666667,14301.0,4
Train,Rural,1302,0.00587942,37,7,3,3,1077.333333,7094.333333,6
Train,Rural,1303,0.0041492,23,4,0,0,0.0,0.0,0
Train,Rural,1304,0.01006442,148,5,11,1,3489.272727,66438.0,12
Train,Rural,1305,0.00865542,56,6,21,2,4281.095238,22574.0,23
Train,Rural,1306,0.00300749,7,3,0,0,0.0,0.0,0
Train,Rural,1307,0.00272254,7,3,2,0,1689.0,0.0,2
Train,Rural,1309,0.00251062,7,3,0,0,0.0,0.0,0
Train,Rural,131,0.00137797,4,3,0,0,0.0,0.0,0
Train,Rural,1310,0.00340508,9,4,0,0,0.0,0.0,0
Train,Rural,1311,0.00691708,26,5,1,0,654.0,0.0,1
Train,Rural,1312,0.00037993,4,3,1,0,1304.0,0.0,1
Train,Rural,1313,0.00589279,59,5,1,1,30.0,47925.0,2
Train,Rural,1314,0.01224903,104,6,6,2,6415.833333,31005.5,8
Train,Rural,1315,0.00356975,51,5,3,0,6695.666667,0.0,3
Train,Rural,1316,0.00323182,10,4,0,0,0.0,0.0,0
Train,Rural,1317,0.00686696,58,6,7,3,4365.285714,7061.0,10
Train,Rural,1318,5.012e-05,2,2,0,0,0.0,0.0,0
Train,Rural,1319,0.00345281,12,5,3,0,36155.0,0.0,3
Train,Rural,132,0.00255071,9,3,0,0,0.0,0.0,0
Train,Rural,1320,0.01280318,138,6,18,3,12761.555556,13583.0,21
Train,Rural,1321,0.00830651,224,6,15,3,5427.133333,6377.0,18
Train,Rural,1322,0.0008558,6,3,0,2,0.0,5920.5,2
Train,Rural,1323,0.01220274,60,7,11,1,3313.181818,20297.0,12
Train,Rural,1324,0.00401746,19,6,0,1,0.0,4532.0,1
Train,Rural,1325,0.01117701,78,7,1,2,1488.0,7789.5,3
Train,Rural,1326,0.0112467,67,6,26,2,4661.384615,21819.5,28
Train,Rural,1328,0.00625792,25,3,0,0,0.0,0.0,0
Train,Rural,1329,0.00272015,15,4,3,0,4600.666667,0.0,3
Train,Rural,133,0.00019808,2,2,0,0,0.0,0.0,0
Train,Rural,1330,0.01101902,47,6,5,1,5333.2,19054.0,6
Train,Rural,1331,0.00660635,40,5,12,1,4173.083333,10397.0,13
Train,Rural,1332,0.01033075,91,6,0,2,0.0,8807.0,2
Train,Rural,1333,0.00799006,71,7,4,2,2724.5,5572.5,6
Train,Rural,1334,0.00341176,22,6,4,1,1943.5,13337.0,5
Train,Rural,1335,0.00820866,38,7,5,1,641.4,10878.0,6
Train,Rural,1336,0.01030498,70,7,4,4,3791.25,19781.0,8
Train,Rural,1337,0.00906113,70,7,6,4,5349.5,6454.5,10
Train,Rural,1338,0.00548087,30,6,1,0,2278.0,0.0,1
Train,Rural,1339,0.00335401,8,4,0,0,0.0,0.0,0
Train,Rural,134,0.01330865,94,6,48,3,1192.75,2719.666667,51
Train,Rural,1340,0.0065801,37,5,0,1,0.0,3588.0,1
Train,Rural,1341,0.00657963,79,5,20,1,3357.7,15064.0,21
Train,Rural,1342,0.00660254,56,6,11,2,7033.909091,1586.5,13
Train,Rural,1343,0.0032113,12,5,0,1,0.0,16061.0,1
Train,Rural,1344,0.003901,17,6,0,1,0.0,1750.0,1
Train,Rural,1345,0.00476778,19,6,1,2,415.0,8501.0,3
Train,Rural,1346,0.00689942,49,6,22,3,4634.0,6992.0,25
Train,Rural,1347,0.00551428,75,6,4,1,2558.75,17120.0,5
Train,Rural,1348,0.00876711,72,6,9,2,12478.666667,18917.0,11
Train,Rural,135,0.00672186,34,7,7,1,14935.571429,78287.0,8
Train,Rural,1350,0.00445563,17,3,10,2,6487.0,77676.5,12
Train,Rural,1351,0.00768601,32,4,0,0,0.0,0.0,0
Train,Rural,1352,0.00789412,32,5,0,1,0.0,74606.0,1
Train,Rural,1353,0.00791178,44,6,1,1,812.0,6395.0,2
Train,Rural,1355,0.00293207,15,6,1,0,382.0,0.0,1
Train,Rural,1356,0.00467709,13,5,0,1,0.0,12460.0,1
Train,Rural,1357,0.00882391,56,5,0,2,0.0,56295.0,2
Train,Rural,1358,0.00175361,8,3,0,0,0.0,0.0,0
Train,Rural,1359,0.00070641,2,2,0,0,0.0,0.0,0
Train,Rural,136,0.00592238,63,6,21,2,2115.571429,5245.5,23
Train,Rural,1362,0.00125769,4,3,0,1,0.0,10779.0,1
Train,Rural,1363,0.00777861,35,5,8,0,15020.125,0.0,8
Train,Rural,1364,0.01099611,134,7,23,4,5369.26087,11667.5,27
Train,Rural,1365,0.00291585,34,4,0,0,0.0,0.0,0
Train,Rural,137,0.00710752,53,7,4,1,554.0,11579.0,5
Train,Rural,138,0.00710705,37,6,5,1,5901.4,795.0,6
Train,Rural,139,0.00258078,10,3,0,0,0.0,0.0,0
Train,Rural,14,0.0031545,16,5,2,2,521.5,9579.0,4
Train,Rural,140,0.00821964,41,6,0,1,0.0,850.0,1
Train,Rural,141,0.00839863,38,7,8,1,4671.625,82127.0,9
Train,Rural,142,0.00473389,16,5,0,0,0.0,0.0,0
Train,Rural,143,0.00424991,20,5,2,1,8409.0,3651.0,3
Train,Rural,144,0.00581451,33,6,12,1,3320.916667,11182.0,13
Train,Rural,145,0.00479308,57,4,0,1,0.0,25091.0,1
Train,Rural,146,0.00220944,9,3,0,0,0.0,0.0,0
Train,Rural,147,9.928e-05,3,3,0,0,0.0,0.0,0
Train,Rural,148,0.00293637,12,4,0,1,0.0,90538.0,1
Train,Rural,15,0.00827453,28,5,0,0,0.0,0.0,0
Train,Rural,150,0.00556249,60,5,2,0,593.5,0.0,2
Train,Rural,151,0.00183094,5,4,0,0,0.0,0.0,0
