split,domain,channel,modulus,dominant_residue,uniformity_score_l1,residue_0_share,residue_1_share,residue_2_share,residue_3_share,residue_4_share,residue_5_share,residue_6_share,residue_7_share
Train,Rural,B,8,0,0.0411462686,0.1339522064,0.1050580536,0.1307847887,0.1308105910,0.1248342820,0.1248282346,0.1247062955,0.1250255481
Val,Urban,R,2,0,0.0386317745,0.5193158872,0.4806841128,,,,,,
Val,Urban,R,4,0,0.0580800393,0.2790400197,0.2402905037,0.2402758676,0.2403936090,,,,
Val,Urban,R,8,0,0.0677654514,0.1588827257,0.1201683408,0.1200836751,0.1200554804,0.1201572939,0.1201221629,0.1201921925,0.1203381286
Val,Urban,G,2,0,0.0385148289,0.5192574145,0.4807425855,,,,,,
Val,Urban,G,4,0,0.0580107944,0.2790053972,0.2402870990,0.2402520173,0.2404554866,,,,
Val,Urban,G,8,0,0.0677176973,0.1588588486,0.1201253635,0.1201050560,0.1201492377,0.1201465486,0.1201617355,0.1201469613,0.1203062489
Val,Urban,B,2,0,0.0383343605,0.5191671803,0.4808328197,,,,,,
Val,Urban,B,4,3,0.0616507312,0.2578635124,0.2191746344,0.2613036678,0.2616581853,,,,
Val,Urban,B,8,3,0.0854309257,0.1303928029,0.0916065050,0.1411088650,0.1411749559,0.1274707095,0.1275681294,0.1201948028,0.1204832294
Val,Rural,R,2,0,0.0183252981,0.5091626490,0.4908373510,,,,,,
Val,Rural,R,4,0,0.0276255435,0.2638127717,0.2455534358,0.2453498773,0.2452839152,,,,
Val,Rural,R,8,0,0.0323293171,0.1411646585,0.1228963704,0.1227163422,0.1226689517,0.1226481132,0.1226570654,0.1226335351,0.1226149634
Val,Rural,G,2,0,0.0177245467,0.5088622733,0.4911377267,,,,,,
Val,Rural,G,4,0,0.0264925995,0.2632462998,0.2456272110,0.2456159736,0.2455105157,,,,
Val,Rural,G,8,0,0.0312076230,0.1406038115,0.1229359440,0.1228348613,0.1226935166,0.1226424882,0.1226912670,0.1227811123,0.1228169991
Val,Rural,B,2,0,0.0180429605,0.5090214802,0.4909785198,,,,,,
Val,Rural,B,4,3,0.0305984482,0.2528501153,0.2347007759,0.2561713649,0.2562777438,,,,
Val,Rural,B,8,3,0.0347274523,0.1299146173,0.1119570915,0.1309705675,0.1310249855,0.1229354980,0.1227436844,0.1252007975,0.1252527583
Test,Urban,R,2,0,0.0322343757,0.5161171878,0.4838828122,,,,,,
Test,Urban,R,4,0,0.0488754691,0.2744377346,0.2415286436,0.2416794533,0.2423541685,,,,
Test,Urban,R,8,0,0.0578611839,0.1539305920,0.1203914561,0.1200701923,0.1201337140,0.1205071426,0.1211371875,0.1216092610,0.1222204546
Test,Urban,G,2,0,0.0321230353,0.5160615177,0.4839384823,,,,,,
Test,Urban,G,4,0,0.0487865029,0.2743932515,0.2417109524,0.2416682662,0.2422275299,,,,
Test,Urban,G,8,0,0.0560592651,0.1530296326,0.1201790903,0.1203859027,0.1208662405,0.1213636189,0.1215318622,0.1212823635,0.1213612894
Test,Urban,B,2,0,0.0323017934,0.5161508967,0.4838491033,,,,,,
Test,Urban,B,4,3,0.0585687056,0.2534811881,0.2207156472,0.2626697087,0.2631334561,,,,
Test,Urban,B,8,2,0.0846841882,0.1257419842,0.0927163810,0.1432289217,0.1426327182,0.1277392038,0.1279992662,0.1194407870,0.1205007379
Test,Rural,R,2,0,0.0197411170,0.5098705585,0.4901294415,,,,,,
Test,Rural,R,4,0,0.0303771965,0.2651885982,0.2447674734,0.2446819602,0.2453619681,,,,
Test,Rural,R,8,0,0.0359033405,0.1429516702,0.1225593549,0.1223958486,0.1222816686,0.1222369280,0.1222081184,0.1222861116,0.1230802995
Test,Rural,G,2,0,0.0198047650,0.5099023825,0.4900976175,,,,,,
Test,Rural,G,4,0,0.0303514258,0.2651757129,0.2446713926,0.2447266696,0.2454262249,,,,
Test,Rural,G,8,0,0.0356745642,0.1428372821,0.1223278564,0.1223291276,0.1223483760,0.1223384308,0.1223435363,0.1223975420,0.1230778489
Test,Rural,B,2,0,0.0196886610,0.5098443305,0.4901556695,,,,,,
Test,Rural,B,4,3,0.0569837699,0.2460386655,0.2254694495,0.2638056650,0.2646862200,,,,
Test,Rural,B,8,3,0.0884417061,0.1151552425,0.0945819294,0.1411915099,0.1412584000,0.1308834230,0.1308875201,0.1226141551,0.1234278200
