split,domain,channel,modulus,dominant_residue,uniformity_score_l1,residue_0_share,residue_1_share,residue_2_share,residue_3_share,residue_4_share,residue_5_share,residue_6_share,residue_7_share
Val,Urban,G,4,0,0.0582447946,0.2791223973,0.2403333485,0.2402831167,0.2402611375,,,,
Val,Urban,G,8,0,0.0681032836,0.1590516418,0.1202143431,0.1201043725,0.1201085746,0.1200707555,0.1201190054,0.1201787442,0.1201525629
Val,Urban,B,2,0,0.0386765003,0.5193382502,0.4806617498,,,,,,
Val,Urban,B,4,3,0.0612640977,0.2582657337,0.2193679512,0.2610725164,0.2612937987,,,,
Val,Urban,B,8,2,0.0931597054,0.1306714863,0.0917197913,0.1428714097,0.1427945495,0.1275942475,0.1276481599,0.1182011068,0.1184992492
Val,Rural,R,2,0,0.0291130841,0.514556542,0.485443458,,,,,,
Val,Rural,R,4,0,0.0439297855,0.2719648927,0.2429649085,0.2425916493,0.2424785495,,,,
Val,Rural,R,8,0,0.0507740974,0.1503870487,0.1215719581,0.1214474738,0.1214461029,0.121577844,0.1213929504,0.1211441755,0.1210324466
Val,Rural,G,2,0,0.0281307995,0.5140653998,0.4859346002,,,,,,
Val,Rural,G,4,0,0.0422497988,0.2711248994,0.2432562113,0.2429405004,0.242678389,,,,
Val,Rural,G,8,0,0.0493714809,0.1496857405,0.1217434406,0.1214720756,0.1213834435,0.1214391589,0.1215127707,0.1214684248,0.1212949455
Val,Rural,B,2,0,0.0282997787,0.5141498893,0.4858501107,,,,,,
Val,Rural,B,4,0,0.0347637236,0.2610955238,0.2326181382,0.2530543655,0.2532319725,,,,
Val,Rural,B,8,0,0.0472087264,0.1400583833,0.111565128,0.1293065846,0.1292393953,0.1210371405,0.1210530102,0.1237477809,0.1239925772
Test,Urban,R,2,0,0.0370237231,0.5185118616,0.4814881384,,,,,,
Test,Urban,R,4,0,0.0549091101,0.277454555,0.2405461669,0.2410573065,0.2409419715,,,,
Test,Urban,R,8,0,0.0665320754,0.1582660377,0.1197381914,0.119107306,0.1185484976,0.1191885173,0.1208079755,0.1219500005,0.122393474
Test,Urban,G,2,0,0.0362274051,0.5181137025,0.4818862975,,,,,,
Test,Urban,G,4,0,0.0548965633,0.2774482816,0.2409974486,0.2406654209,0.2408888489,,,,
Test,Urban,G,8,0,0.0623220801,0.1561610401,0.1201256961,0.1206554621,0.1210944057,0.1212872416,0.1208717525,0.1200099587,0.1197944432
Test,Urban,B,2,0,0.0363504887,0.5181752443,0.4818247557,,,,,,
Test,Urban,B,4,3,0.0553151369,0.2592920512,0.2223424315,0.2588831931,0.2594823241,,,,
Test,Urban,B,8,2,0.0878240764,0.1338423342,0.0961085558,0.142202884,0.1411832273,0.125449717,0.1262338758,0.1166803092,0.1182990968
Test,Rural,R,2,0,0.0272045135,0.5136022568,0.4863977432,,,,,,
Test,Rural,R,4,0,0.0415301621,0.270765081,0.2428688407,0.2428371757,0.2435289025,,,,
Test,Rural,R,8,0,0.0485837758,0.1492918879,0.1214838773,0.1215225309,0.1215635091,0.1214731932,0.1213849634,0.1213146448,0.1219653934
Test,Rural,G,2,0,0.0270988345,0.5135494173,0.4864505827,,,,,,
Test,Rural,G,4,0,0.0415810049,0.2707905024,0.2428928018,0.2427589148,0.243557781,,,,
Test,Rural,G,8,0,0.0489163995,0.1494581997,0.1216366738,0.1214530021,0.1214111745,0.1213323027,0.121256128,0.1213059127,0.1221466064
Test,Rural,B,2,0,0.027094841,0.5135474205,0.4864525795,,,,,,
Test,Rural,B,4,3,0.0483840406,0.253933832,0.2258079797,0.2596135885,0.2606445998,,,,
Test,Rural,B,8,3,0.0723196864,0.1233510375,0.0952290446,0.1374730021,0.1375251114,0.1305827945,0.1305789351,0.1221405864,0.1231194884
