split,domain,sample_id,image_path,mask_path,has_mask,width,height,pixel_count,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,min_r,min_g,min_b,max_r,max_g,max_b
Train,Urban,1376,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1376.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1376.png,True,1024,1024,1048576,1.0,78.981537,83.744789,80.868866,36.027409,32.433445,31.412214,13,20,11,255,255,255
Train,Urban,1377,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1377.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1377.png,True,1024,1024,1048576,1.0,64.44323,69.10379,67.425758,46.065506,44.315376,42.172966,0,0,0,255,255,255
Train,Urban,1378,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1378.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1378.png,True,1024,1024,1048576,1.0,77.110107,80.813629,78.195198,48.316704,47.376389,46.071571,0,0,0,232,228,220
Train,Urban,1379,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1379.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1379.png,True,1024,1024,1048576,1.0,73.087585,79.073532,77.232109,33.117531,30.328295,28.625404,24,1,1,255,255,255
Train,Urban,1380,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1380.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1380.png,True,1024,1024,1048576,1.0,65.498459,69.18988,67.943604,41.666897,40.007721,38.923946,0,0,0,254,255,255
Train,Urban,1381,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1381.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1381.png,True,1024,1024,1048576,1.0,78.479645,83.138748,80.430618,35.591534,31.585552,29.604538,12,2,0,255,255,255
Train,Urban,1382,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1382.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1382.png,True,1024,1024,1048576,1.0,40.36364,42.64378,41.557648,49.481369,50.999039,50.162338,0,0,0,255,255,255
Train,Urban,1383,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1383.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1383.png,True,1024,1024,1048576,1.0,111.0476,109.157639,112.171997,51.729069,44.768524,39.31377,11,19,15,255,255,255
Train,Urban,1384,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1384.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1384.png,True,1024,1024,1048576,1.0,79.609222,83.643646,82.481804,39.542812,36.06765,34.417843,28,14,1,255,255,255
Train,Urban,1385,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1385.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1385.png,True,1024,1024,1048576,1.0,74.254372,79.591553,78.51223,34.223122,32.369419,32.073528,0,0,0,255,255,255
Train,Urban,1386,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1386.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1386.png,True,1024,1024,1048576,1.0,71.690125,75.789703,74.396568,33.826,29.369898,26.486856,24,31,14,255,255,255
Train,Urban,1387,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1387.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1387.png,True,1024,1024,1048576,1.0,81.806351,87.310577,84.696136,38.945129,36.019531,35.272057,27,30,8,255,255,255
Train,Urban,1388,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1388.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1388.png,True,1024,1024,1048576,1.0,72.501366,78.612579,79.520569,41.107159,41.139957,42.579853,0,0,0,255,255,255
Train,Urban,1389,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1389.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1389.png,True,1024,1024,1048576,1.0,74.732269,79.062225,77.69931,31.092735,28.098549,27.95512,7,17,0,255,255,255
Train,Urban,1390,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1390.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1390.png,True,1024,1024,1048576,1.0,72.024811,76.91098,74.530518,33.725754,30.324406,28.46059,11,5,0,255,255,255
Train,Urban,1391,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1391.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1391.png,True,1024,1024,1048576,1.0,76.884613,78.732903,74.88353,28.275139,24.00897,21.600954,0,12,16,225,228,229
Train,Urban,1392,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1392.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1392.png,True,1024,1024,1048576,1.0,80.414856,85.975128,83.322739,32.634922,30.220972,29.903646,27,37,17,255,255,255
Train,Urban,1393,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1393.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1393.png,True,1024,1024,1048576,1.0,73.712402,77.905029,76.513199,35.940826,31.863579,31.230728,19,17,1,255,255,255
Train,Urban,1394,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1394.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1394.png,True,1024,1024,1048576,1.0,93.832985,90.268997,91.546883,45.617176,40.487049,37.092907,0,0,0,255,255,255
Train,Urban,1395,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1395.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1395.png,True,1024,1024,1048576,1.0,79.366127,85.34565,84.466354,35.590591,33.543194,32.864365,17,12,1,255,255,255
Train,Urban,1396,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1396.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1396.png,True,1024,1024,1048576,1.0,59.958847,68.197403,67.132797,11.293484,9.599325,9.715817,28,32,14,195,191,193
Train,Urban,1397,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1397.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1397.png,True,1024,1024,1048576,1.0,81.259758,85.338074,82.286575,31.957697,29.77709,28.774145,10,21,4,255,255,255
Train,Urban,1398,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1398.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1398.png,True,1024,1024,1048576,1.0,80.738235,86.261795,84.280022,41.183468,38.438229,36.818096,11,8,0,255,255,255
Train,Urban,1399,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1399.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1399.png,True,1024,1024,1048576,1.0,72.326477,76.148567,74.680428,45.832474,39.86097,38.277733,0,1,0,255,255,255
Train,Urban,1400,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1400.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1400.png,True,1024,1024,1048576,1.0,78.585701,83.630051,81.05481,33.396931,29.01083,27.340832,19,27,7,255,255,255
Train,Urban,1401,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1401.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1401.png,True,1024,1024,1048576,1.0,74.48867,79.793686,77.960693,32.138386,29.303282,29.071894,26,28,8,255,255,255
Train,Urban,1402,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1402.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1402.png,True,1024,1024,1048576,1.0,77.557159,82.615082,80.762611,37.634819,33.89645,33.454929,15,24,19,247,240,239
Train,Urban,1403,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1403.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1403.png,True,1024,1024,1048576,1.0,97.327255,98.461449,102.142868,48.875141,40.692833,34.959148,11,24,22,255,255,255
Train,Urban,1404,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1404.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1404.png,True,1024,1024,1048576,1.0,79.979401,84.39743,82.88459,31.52998,28.4235,28.139797,20,36,28,255,255,255
Train,Urban,1405,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1405.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1405.png,True,1024,1024,1048576,1.0,78.463692,83.33461,81.573135,33.717869,30.291319,29.342331,16,17,7,255,255,255
Train,Urban,1406,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1406.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1406.png,True,1024,1024,1048576,1.0,82.926849,87.433327,84.723511,35.195206,30.959032,29.400827,7,18,3,245,255,255
Train,Urban,1407,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1407.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1407.png,True,1024,1024,1048576,1.0,80.585922,84.645973,82.859558,35.970852,32.758331,32.648926,14,23,5,255,255,255
Train,Urban,1408,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1408.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1408.png,True,1024,1024,1048576,1.0,76.641495,80.792297,77.680573,29.878288,26.720924,25.012342,6,4,4,255,255,255
Train,Urban,1409,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1409.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1409.png,True,1024,1024,1048576,1.0,80.294655,84.814957,81.912025,35.652943,32.413494,30.737709,22,11,1,255,255,255
Train,Urban,1410,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1410.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1410.png,True,1024,1024,1048576,1.0,74.957764,81.224014,79.215317,35.693188,32.264694,31.016867,23,27,15,255,255,255
Train,Urban,1411,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1411.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1411.png,True,1024,1024,1048576,1.0,78.278053,84.206375,81.260956,31.93145,28.730568,27.632109,16,31,27,255,255,255
Train,Urban,1412,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1412.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1412.png,True,1024,1024,1048576,1.0,80.708206,84.813141,81.667557,38.168972,33.907253,31.504763,24,0,0,255,255,255
Train,Urban,1413,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1413.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1413.png,True,1024,1024,1048576,1.0,80.039307,85.265823,82.722656,34.122707,27.793728,25.518299,14,12,2,255,255,255
Train,Urban,1414,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1414.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1414.png,True,1024,1024,1048576,1.0,164.269135,163.779602,162.957153,39.684586,37.295769,33.650681,44,52,57,255,255,255
Train,Urban,1415,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1415.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1415.png,True,1024,1024,1048576,1.0,74.918259,78.264641,75.527931,35.928852,28.732981,27.826536,25,24,15,255,255,255
Train,Urban,1416,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1416.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1416.png,True,1024,1024,1048576,1.0,76.321838,81.706818,79.438446,32.913975,29.673849,29.837263,20,28,19,255,255,255
Train,Urban,1417,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1417.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1417.png,True,1024,1024,1048576,1.0,80.196579,84.682533,82.247322,38.150608,35.522903,34.031078,18,13,1,255,255,255
Train,Urban,1418,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1418.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1418.png,True,1024,1024,1048576,1.0,79.113884,85.84716,84.898186,37.164539,33.643501,33.478809,13,10,0,255,255,255
Train,Urban,1419,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1419.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1419.png,True,1024,1024,1048576,1.0,92.606598,89.563065,95.804352,61.088623,54.265366,47.331417,0,0,0,255,255,255
Train,Urban,1420,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1420.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1420.png,True,1024,1024,1048576,1.0,68.488586,74.60862,71.056923,26.429245,22.063824,20.133554,8,22,24,255,255,255
Train,Urban,1421,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1421.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1421.png,True,1024,1024,1048576,1.0,73.840088,79.902588,78.035965,30.36442,26.121273,25.232573,20,30,19,255,255,255
Train,Urban,1422,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1422.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1422.png,True,1024,1024,1048576,1.0,81.574348,85.375725,83.062279,36.427277,33.447941,33.138042,5,5,1,255,255,255
Train,Urban,1423,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1423.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1423.png,True,1024,1024,1048576,1.0,95.520546,101.920212,105.134048,45.75428,37.27816,32.376759,14,26,30,255,255,255
Train,Urban,1424,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1424.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1424.png,True,1024,1024,1048576,1.0,43.828453,49.047798,50.047764,47.608372,51.52383,52.932919,0,0,0,254,248,254
Train,Urban,1425,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1425.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1425.png,True,1024,1024,1048576,1.0,79.339211,83.746025,81.049393,37.301945,33.758736,33.006008,15,23,14,253,245,253
Train,Urban,1426,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1426.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1426.png,True,1024,1024,1048576,1.0,81.446449,87.00161,87.207909,52.745071,43.721985,40.535828,0,4,0,255,255,255
Train,Urban,1427,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1427.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1427.png,True,1024,1024,1048576,1.0,73.280228,78.79837,76.563522,45.754677,44.970299,43.564243,0,0,0,255,255,255
Train,Urban,1428,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1428.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1428.png,True,1024,1024,1048576,1.0,92.861603,96.695671,94.167007,42.184605,39.427765,38.150822,10,9,1,255,255,255
Train,Urban,1429,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1429.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1429.png,True,1024,1024,1048576,1.0,69.959152,75.485626,74.125877,29.689569,27.019091,26.524658,18,30,26,255,255,255
Train,Urban,1430,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1430.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1430.png,True,1024,1024,1048576,1.0,70.440315,76.394119,73.176483,26.006256,23.271372,22.005026,19,21,4,255,255,255
Train,Urban,1431,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1431.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1431.png,True,1024,1024,1048576,1.0,71.025887,80.251686,75.381889,24.522461,22.474976,22.456562,25,26,19,255,255,255
Train,Urban,1432,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1432.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1432.png,True,1024,1024,1048576,1.0,75.26384,79.625763,77.454208,36.841751,33.367172,32.576736,24,14,0,255,255,255
Train,Urban,1433,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1433.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1433.png,True,1024,1024,1048576,1.0,82.871086,87.023888,85.104889,34.333405,32.30645,33.240982,9,21,3,255,255,255
Train,Urban,1434,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1434.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1434.png,True,1024,1024,1048576,1.0,76.562088,81.211578,78.702713,31.072165,28.064005,27.239153,17,27,17,255,255,255
Train,Urban,1435,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1435.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1435.png,True,1024,1024,1048576,1.0,47.960209,51.929329,51.680954,48.887173,49.98558,49.534729,0,0,0,255,255,255
Train,Urban,1436,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1436.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1436.png,True,1024,1024,1048576,1.0,76.767921,82.028328,81.233406,35.068123,33.164448,32.888477,27,15,5,255,255,255
Train,Urban,1437,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1437.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1437.png,True,1024,1024,1048576,1.0,76.035751,81.28727,77.966019,36.635792,32.222374,29.618721,28,15,1,255,255,255
Train,Urban,1438,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1438.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1438.png,True,1024,1024,1048576,1.0,72.520828,77.855202,75.862061,31.859732,27.68001,24.653008,18,21,2,255,255,255
Train,Urban,1439,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1439.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1439.png,True,1024,1024,1048576,1.0,70.474319,76.741211,74.404861,36.70826,37.713963,36.16235,0,0,0,255,255,255
Train,Urban,1440,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1440.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1440.png,True,1024,1024,1048576,1.0,91.848709,98.712723,113.559311,47.829033,43.551121,40.998482,0,9,2,255,255,255
Train,Urban,1441,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1441.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1441.png,True,1024,1024,1048576,1.0,78.405144,82.264961,80.490257,37.31105,34.557102,31.844158,20,19,5,255,255,255
Train,Urban,1442,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1442.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1442.png,True,1024,1024,1048576,1.0,69.3088,75.525574,74.849777,31.630342,28.506096,27.469488,13,19,5,255,255,255
Train,Urban,1443,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1443.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1443.png,True,1024,1024,1048576,1.0,74.699654,82.365997,81.604706,37.331551,36.002842,35.398449,23,28,8,255,255,255
Train,Urban,1444,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1444.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1444.png,True,1024,1024,1048576,1.0,75.857468,82.052597,80.150009,36.83744,33.590588,31.644552,9,13,1,255,255,255
Train,Urban,1445,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1445.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1445.png,True,1024,1024,1048576,1.0,105.680557,106.3237,107.770576,47.64645,38.911705,32.387913,12,26,19,255,255,255
Train,Urban,1446,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1446.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1446.png,True,1024,1024,1048576,1.0,42.166023,47.581604,46.423302,29.2097,32.257126,31.527321,0,0,0,208,215,216
Train,Urban,1447,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1447.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1447.png,True,1024,1024,1048576,1.0,79.823494,84.494576,82.321136,42.551693,38.133873,35.464569,23,14,1,255,255,255
Train,Urban,1448,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1448.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1448.png,True,1024,1024,1048576,1.0,79.997429,83.410233,80.519073,37.028637,32.839256,31.457489,16,20,1,255,255,255
Train,Urban,1449,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1449.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1449.png,True,1024,1024,1048576,1.0,73.232185,80.226395,78.362793,28.509686,26.881945,25.994173,1,1,0,255,255,255
Train,Urban,1450,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1450.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1450.png,True,1024,1024,1048576,1.0,74.310501,80.429352,76.684479,27.998251,24.617426,24.552498,18,33,32,255,255,255
Train,Urban,1451,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1451.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1451.png,True,1024,1024,1048576,1.0,76.927376,85.205368,93.436531,56.166454,51.801865,49.233204,0,6,14,255,255,255
Train,Urban,1452,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1452.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1452.png,True,1024,1024,1048576,1.0,94.998367,89.383682,89.598007,43.94236,38.946899,37.506779,0,5,0,255,255,255
Train,Urban,1453,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1453.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1453.png,True,1024,1024,1048576,1.0,71.749252,79.285942,78.402458,36.01675,33.454708,33.505146,5,15,16,234,233,228
Train,Urban,1454,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1454.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1454.png,True,1024,1024,1048576,1.0,78.068771,88.334618,97.626434,55.348328,52.197037,50.023975,0,11,13,255,255,255
Train,Urban,1455,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1455.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1455.png,True,1024,1024,1048576,1.0,54.22702,61.178108,60.26437,22.699364,23.077517,22.613205,0,0,0,255,255,255
Train,Urban,1456,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1456.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1456.png,True,1024,1024,1048576,1.0,82.785065,88.816254,87.94709,40.111977,37.742462,35.732002,24,26,11,255,255,255
Train,Urban,1457,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1457.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1457.png,True,1024,1024,1048576,1.0,81.384872,85.49913,83.177032,36.866226,33.572906,33.605656,12,20,3,245,250,251
Train,Urban,1458,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1458.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1458.png,True,1024,1024,1048576,1.0,38.316929,39.866261,38.387619,44.177101,43.941666,42.457275,0,0,0,228,234,244
Train,Urban,1459,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1459.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1459.png,True,1024,1024,1048576,1.0,69.220322,74.839943,73.736275,33.41357,30.185459,28.38529,19,13,0,255,255,255
Train,Urban,1460,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1460.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1460.png,True,1024,1024,1048576,1.0,82.945869,84.913956,82.689636,35.447224,32.426022,31.636015,14,21,9,255,255,255
