split,domain,sample_id,class_id,class_name,pixel_count,pixel_ratio
Train,Urban,1382,0,no-data,559867,0.53393078
Train,Urban,1382,1,background,235126,0.22423363
Train,Urban,1382,2,building,65085,0.06206989
Train,Urban,1382,3,road,54135,0.05162716
Train,Urban,1382,5,barren,133363,0.12718487
Train,Urban,1382,6,forest,1000,0.00095367
Train,Urban,1383,1,background,701048,0.66857147
Train,Urban,1383,2,building,142266,0.13567543
Train,Urban,1383,3,road,183837,0.17532063
Train,Urban,1383,6,forest,21425,0.02043247
Train,Urban,1384,1,background,421565,0.40203571
Train,Urban,1384,2,building,570711,0.54427242
Train,Urban,1384,3,road,38652,0.03686142
Train,Urban,1384,5,barren,3260,0.00310898
Train,Urban,1384,6,forest,14388,0.01372147
Train,Urban,1385,0,no-data,28449,0.02713108
Train,Urban,1385,1,background,590866,0.56349373
Train,Urban,1385,2,building,189703,0.18091488
Train,Urban,1385,3,road,148028,0.1411705
Train,Urban,1385,4,water,25254,0.02408409
Train,Urban,1385,5,barren,28,2.67e-05
Train,Urban,1385,6,forest,66248,0.06317902
Train,Urban,1386,1,background,519545,0.49547672
Train,Urban,1386,2,building,388454,0.3704586
Train,Urban,1386,3,road,109192,0.10413361
Train,Urban,1386,5,barren,12806,0.01221275
Train,Urban,1386,6,forest,18579,0.01771832
Train,Urban,1387,1,background,722464,0.68899536
Train,Urban,1387,2,building,162646,0.15511131
Train,Urban,1387,3,road,55697,0.0531168
Train,Urban,1387,4,water,27889,0.02659702
Train,Urban,1387,5,barren,30602,0.02918434
Train,Urban,1387,6,forest,49278,0.04699516
Train,Urban,1388,0,no-data,119188,0.11366653
Train,Urban,1388,1,background,235581,0.22466755
Train,Urban,1388,2,building,452870,0.43189049
Train,Urban,1388,3,road,43736,0.0417099
Train,Urban,1388,6,forest,197201,0.18806553
Train,Urban,1389,1,background,245829,0.2344408
Train,Urban,1389,2,building,295324,0.28164291
Train,Urban,1389,3,road,111589,0.10641956
Train,Urban,1389,5,barren,353322,0.33695412
Train,Urban,1389,6,forest,42512,0.0405426
Train,Urban,1390,1,background,561386,0.53537941
Train,Urban,1390,2,building,239872,0.22875977
Train,Urban,1390,3,road,22709,0.02165699
Train,Urban,1390,5,barren,21383,0.02039242
Train,Urban,1390,6,forest,203226,0.19381142
Train,Urban,1391,1,background,717155,0.6839323
Train,Urban,1391,2,building,152861,0.14577961
Train,Urban,1391,3,road,107944,0.10294342
Train,Urban,1391,5,barren,61669,0.05881214
Train,Urban,1391,6,forest,8947,0.00853252
Train,Urban,1392,1,background,296580,0.28284073
Train,Urban,1392,2,building,373380,0.35608292
Train,Urban,1392,3,road,9258,0.00882912
Train,Urban,1392,5,barren,56451,0.05383587
Train,Urban,1392,6,forest,27313,0.02604771
Train,Urban,1392,7,agriculture,285594,0.27236366
Train,Urban,1393,1,background,615238,0.58673668
Train,Urban,1393,2,building,371030,0.35384178
Train,Urban,1393,3,road,62308,0.05942154
Train,Urban,1394,1,background,653360,0.62309265
Train,Urban,1394,2,building,116924,0.11150742
Train,Urban,1394,3,road,278292,0.26539993
Train,Urban,1395,1,background,409038,0.39008904
Train,Urban,1395,2,building,252481,0.24078465
Train,Urban,1395,3,road,94948,0.09054947
Train,Urban,1395,4,water,65975,0.06291866
Train,Urban,1395,5,barren,223307,0.21296215
Train,Urban,1395,6,forest,2827,0.00269604
Train,Urban,1396,1,background,950278,0.90625572
Train,Urban,1396,6,forest,98298,0.09374428
Train,Urban,1397,1,background,647001,0.61702824
Train,Urban,1397,2,building,390673,0.37257481
Train,Urban,1397,3,road,10902,0.01039696
Train,Urban,1398,1,background,441029,0.42059803
Train,Urban,1398,2,building,334516,0.31901932
Train,Urban,1398,3,road,247215,0.2357626
Train,Urban,1398,5,barren,2576,0.00245667
Train,Urban,1398,6,forest,23240,0.02216339
Train,Urban,1399,1,background,508689,0.48512363
Train,Urban,1399,2,building,233133,0.22233295
Train,Urban,1399,3,road,8088,0.00771332
Train,Urban,1399,6,forest,298666,0.28483009
Train,Urban,1400,1,background,395706,0.37737465
Train,Urban,1400,2,building,26385,0.0251627
Train,Urban,1400,3,road,21749,0.02074146
Train,Urban,1400,4,water,393378,0.3751545
Train,Urban,1400,6,forest,169368,0.16152191
Train,Urban,1400,7,agriculture,41990,0.04004478
Train,Urban,1401,1,background,525505,0.50116062
Train,Urban,1401,2,building,265363,0.25306988
Train,Urban,1401,3,road,11609,0.01107121
Train,Urban,1401,5,barren,56432,0.05381775
Train,Urban,1401,6,forest,113740,0.10847092
Train,Urban,1401,7,agriculture,75927,0.07240963
Train,Urban,1402,1,background,800021,0.76295948
Train,Urban,1402,2,building,188433,0.17970371
Train,Urban,1402,3,road,34917,0.03329945
Train,Urban,1402,4,water,12552,0.01197052
Train,Urban,1402,6,forest,12653,0.01206684
Train,Urban,1403,1,background,795353,0.75850773
Train,Urban,1403,2,building,179827,0.17149639
Train,Urban,1403,3,road,73396,0.06999588
Train,Urban,1404,1,background,654183,0.62387753
Train,Urban,1404,2,building,276317,0.26351643
Train,Urban,1404,3,road,58129,0.05543613
Train,Urban,1404,5,barren,16268,0.01551437
Train,Urban,1404,6,forest,43679,0.04165554
Train,Urban,1405,1,background,541939,0.51683331
Train,Urban,1405,2,building,255213,0.24339008
Train,Urban,1405,3,road,251424,0.23977661
Train,Urban,1406,1,background,476456,0.45438385
Train,Urban,1406,2,building,289068,0.27567673
Train,Urban,1406,3,road,141532,0.13497543
Train,Urban,1406,5,barren,125000,0.11920929
Train,Urban,1406,6,forest,16520,0.0157547
Train,Urban,1407,1,background,613116,0.58471298
Train,Urban,1407,2,building,348948,0.33278275
Train,Urban,1407,3,road,86512,0.08250427
Train,Urban,1408,1,background,523656,0.49939728
Train,Urban,1408,2,building,16413,0.01565266
Train,Urban,1408,3,road,467820,0.44614792
Train,Urban,1408,4,water,28232,0.02692413
Train,Urban,1408,6,forest,12455,0.01187801
Train,Urban,1409,1,background,378784,0.36123657
Train,Urban,1409,2,building,261209,0.24910831
Train,Urban,1409,3,road,376654,0.35920525
Train,Urban,1409,4,water,31929,0.03044987
Train,Urban,1410,1,background,590003,0.56267071
Train,Urban,1410,2,building,224299,0.2139082
Train,Urban,1410,3,road,234274,0.2234211
Train,Urban,1411,1,background,707180,0.6744194
Train,Urban,1411,2,building,47475,0.04527569
Train,Urban,1411,3,road,19059,0.01817608
Train,Urban,1411,4,water,97455,0.09294033
Train,Urban,1411,7,agriculture,177407,0.1691885
Train,Urban,1412,1,background,378029,0.36051655
Train,Urban,1412,2,building,492321,0.46951389
Train,Urban,1412,3,road,66987,0.06388378
Train,Urban,1412,4,water,344,0.00032806
Train,Urban,1412,5,barren,9801,0.00934696
Train,Urban,1412,6,forest,101094,0.09641075
Train,Urban,1413,1,background,454206,0.4331646
Train,Urban,1413,2,building,176815,0.16862392
Train,Urban,1413,3,road,36229,0.03455067
Train,Urban,1413,4,water,248225,0.23672581
Train,Urban,1413,5,barren,114518,0.10921288
Train,Urban,1413,6,forest,18583,0.01772213
Train,Urban,1414,1,background,137643,0.13126659
Train,Urban,1414,2,building,910933,0.86873341
Train,Urban,1415,1,background,673933,0.64271259
Train,Urban,1415,2,building,180190,0.17184258
Train,Urban,1415,3,road,69582,0.06635857
Train,Urban,1415,4,water,83447,0.07958126
Train,Urban,1415,6,forest,41424,0.039505
Train,Urban,1416,1,background,529232,0.50471497
Train,Urban,1416,2,building,107873,0.10287571
Train,Urban,1416,3,road,153397,0.14629078
Train,Urban,1416,5,barren,142832,0.13621521
Train,Urban,1416,6,forest,115242,0.10990334
Train,Urban,1417,1,background,467492,0.44583511
Train,Urban,1417,2,building,432307,0.41228008
Train,Urban,1417,3,road,148777,0.1418848
Train,Urban,1418,1,background,511509,0.487813
Train,Urban,1418,2,building,268918,0.25646019
Train,Urban,1418,3,road,84194,0.08029366
Train,Urban,1418,5,barren,166776,0.15904999
Train,Urban,1418,6,forest,17179,0.01638317
Train,Urban,1419,1,background,798758,0.76175499
Train,Urban,1419,2,building,243994,0.23269081
Train,Urban,1419,3,road,5824,0.0055542
Train,Urban,1420,1,background,552609,0.52700901
Train,Urban,1420,2,building,94032,0.0896759
Train,Urban,1420,3,road,214461,0.20452595
Train,Urban,1420,5,barren,2914,0.00277901
Train,Urban,1420,6,forest,19781,0.01886463
Train,Urban,1420,7,agriculture,164779,0.1571455
Train,Urban,1421,3,road,13421,0.01279926
Train,Urban,1421,5,barren,566977,0.5407114
Train,Urban,1421,6,forest,468178,0.44648933
Train,Urban,1422,1,background,566709,0.54045582
Train,Urban,1422,2,building,236916,0.2259407
Train,Urban,1422,3,road,166233,0.15853214
Train,Urban,1422,5,barren,78347,0.07471752
Train,Urban,1422,7,agriculture,371,0.00035381
Train,Urban,1423,1,background,363984,0.34712219
Train,Urban,1423,2,building,234946,0.22406197
Train,Urban,1423,3,road,122600,0.11692047
Train,Urban,1423,6,forest,327046,0.31189537
Train,Urban,1424,0,no-data,442135,0.42165279
Train,Urban,1424,1,background,256954,0.24505043
Train,Urban,1424,2,building,331447,0.31609249
Train,Urban,1424,6,forest,13464,0.01284027
Train,Urban,1424,7,agriculture,4576,0.00436401
Train,Urban,1425,1,background,822114,0.78402901
Train,Urban,1425,2,building,123356,0.11764145
Train,Urban,1425,3,road,20679,0.01972103
Train,Urban,1425,5,barren,23164,0.02209091
Train,Urban,1425,6,forest,59263,0.0565176
Train,Urban,1426,1,background,420713,0.40122318
Train,Urban,1426,2,building,151421,0.14440632
Train,Urban,1426,3,road,59118,0.05637932
Train,Urban,1426,6,forest,417324,0.39799118
Train,Urban,1427,0,no-data,118988,0.1134758
Train,Urban,1427,1,background,586989,0.55979633
Train,Urban,1427,2,building,209182,0.1994915
Train,Urban,1427,3,road,77124,0.07355118
Train,Urban,1427,5,barren,34868,0.03325272
Train,Urban,1427,6,forest,21425,0.02043247
Train,Urban,1428,1,background,115383,0.1100378
Train,Urban,1428,2,building,848468,0.80916214
Train,Urban,1428,3,road,84725,0.08080006
Train,Urban,1429,1,background,679603,0.64811993
Train,Urban,1429,2,building,139344,0.13288879
Train,Urban,1429,3,road,89674,0.08551979
Train,Urban,1429,5,barren,43734,0.04170799
Train,Urban,1429,7,agriculture,96221,0.0917635
Train,Urban,1430,1,background,704661,0.6720171
Train,Urban,1430,3,road,101176,0.09648895
Train,Urban,1430,4,water,68292,0.06512833
Train,Urban,1430,5,barren,137913,0.13152409
Train,Urban,1430,6,forest,36534,0.03484154
Train,Urban,1431,1,background,37688,0.03594208
Train,Urban,1431,2,building,628,0.00059891
Train,Urban,1431,3,road,178060,0.16981125
Train,Urban,1431,4,water,30432,0.02902222
Train,Urban,1431,5,barren,2394,0.0022831
Train,Urban,1431,6,forest,799374,0.76234245
Train,Urban,1432,1,background,548728,0.5233078
Train,Urban,1432,2,building,313061,0.29855824
Train,Urban,1432,3,road,71494,0.06818199
Train,Urban,1432,4,water,115293,0.10995197
Train,Urban,1433,1,background,655445,0.62508106
Train,Urban,1433,2,building,392747,0.37455273
Train,Urban,1433,3,road,384,0.00036621
Train,Urban,1434,1,background,237655,0.22664547
Train,Urban,1434,2,building,152386,0.14532661
Train,Urban,1434,3,road,22885,0.02182484
Train,Urban,1434,5,barren,611818,0.58347511
Train,Urban,1434,6,forest,23832,0.02272797
Train,Urban,1435,0,no-data,398854,0.38037682
Train,Urban,1435,1,background,400290,0.38174629
Train,Urban,1435,2,building,120583,0.11499691
Train,Urban,1435,3,road,63769,0.06081486
Train,Urban,1435,5,barren,11283,0.01076031
Train,Urban,1435,6,forest,29332,0.02797318
Train,Urban,1435,7,agriculture,24465,0.02333164
Train,Urban,1436,1,background,496898,0.47387886
Train,Urban,1436,2,building,424222,0.40456963
Train,Urban,1436,3,road,127456,0.12155151
Train,Urban,1437,1,background,829650,0.7912159
Train,Urban,1437,2,building,100501,0.09584522
Train,Urban,1437,3,road,7597,0.00724506
Train,Urban,1437,4,water,75651,0.07214642
Train,Urban,1437,6,forest,35177,0.0335474
Train,Urban,1438,1,background,520921,0.49678898
Train,Urban,1438,2,building,238418,0.22737312
Train,Urban,1438,3,road,161548,0.15406418
Train,Urban,1438,5,barren,60353,0.05755711
Train,Urban,1438,6,forest,32784,0.03126526
Train,Urban,1438,7,agriculture,34552,0.03295135
Train,Urban,1439,0,no-data,59759,0.05699062
Train,Urban,1439,1,background,691780,0.65973282
Train,Urban,1439,2,building,191894,0.18300438
Train,Urban,1439,4,water,51893,0.04948902
Train,Urban,1439,5,barren,23462,0.02237511
Train,Urban,1439,6,forest,29788,0.02840805
Train,Urban,1440,1,background,535462,0.51065636
Train,Urban,1440,2,building,446143,0.42547512
Train,Urban,1440,3,road,66971,0.06386852
Train,Urban,1441,1,background,341425,0.32560825
Train,Urban,1441,2,building,202966,0.19356346
Train,Urban,1441,3,road,418120,0.39875031
Train,Urban,1441,4,water,86065,0.08207798
Train,Urban,1442,1,background,281154,0.26812935
Train,Urban,1442,2,building,438104,0.41780853
Train,Urban,1442,3,road,33836,0.03226852
Train,Urban,1442,5,barren,15800,0.01506805
Train,Urban,1442,6,forest,99391,0.09478664
Train,Urban,1442,7,agriculture,180291,0.1719389
Train,Urban,1443,1,background,579772,0.55291367
Train,Urban,1443,2,building,240283,0.22915173
Train,Urban,1443,3,road,113033,0.10779667
Train,Urban,1443,4,water,15268,0.0145607
Train,Urban,1443,5,barren,57815,0.05513668
Train,Urban,1443,6,forest,42405,0.04044056
Train,Urban,1444,1,background,365504,0.34857178
Train,Urban,1444,2,building,416609,0.3973093
Train,Urban,1444,3,road,249262,0.23771477
Train,Urban,1444,6,forest,17201,0.01640415
Train,Urban,1445,1,background,711502,0.67854118
Train,Urban,1445,2,building,244465,0.23313999
Train,Urban,1445,3,road,74370,0.07092476
Train,Urban,1445,5,barren,4500,0.00429153
Train,Urban,1445,6,forest,13739,0.01310253
Train,Urban,1446,0,no-data,323318,0.30834007
Train,Urban,1446,4,water,725258,0.69165993
Train,Urban,1447,1,background,428409,0.40856266
Train,Urban,1447,2,building,430285,0.41035175
Train,Urban,1447,3,road,132056,0.12593842
Train,Urban,1447,4,water,37292,0.03556442
Train,Urban,1447,5,barren,2,1.91e-06
Train,Urban,1447,6,forest,20532,0.01958084
Train,Urban,1448,1,background,406936,0.38808441
Train,Urban,1448,2,building,545568,0.52029419
Train,Urban,1448,5,barren,96072,0.0916214
Train,Urban,1449,1,background,264243,0.25200176
Train,Urban,1449,2,building,5990,0.00571251
Train,Urban,1449,3,road,19772,0.01885605
Train,Urban,1449,4,water,758571,0.72342968
Train,Urban,1450,1,background,439071,0.41873074
Train,Urban,1450,2,building,266664,0.25431061
Train,Urban,1450,3,road,44496,0.04243469
Train,Urban,1450,4,water,35152,0.03352356
Train,Urban,1450,5,barren,63597,0.06065083
Train,Urban,1450,6,forest,400,0.00038147
Train,Urban,1450,7,agriculture,199196,0.18996811
Train,Urban,1451,1,background,697419,0.66511059
Train,Urban,1451,2,building,252740,0.24103165
Train,Urban,1451,3,road,98417,0.09385777
Train,Urban,1452,1,background,592686,0.56522942
Train,Urban,1452,2,building,360562,0.34385872
Train,Urban,1452,3,road,24987,0.02382946
Train,Urban,1452,6,forest,70341,0.06708241
Train,Urban,1453,1,background,701735,0.66922665
Train,Urban,1453,2,building,319723,0.30491161
Train,Urban,1453,6,forest,27118,0.02586174
Train,Urban,1454,1,background,699313,0.66691685
Train,Urban,1454,2,building,328990,0.31374931
Train,Urban,1454,6,forest,20273,0.01933384
Train,Urban,1455,0,no-data,89625,0.08547306
Train,Urban,1455,3,road,3171,0.0030241
Train,Urban,1455,5,barren,883883,0.84293652
Train,Urban,1455,6,forest,71897,0.06856632
Train,Urban,1456,1,background,394113,0.37585545
Train,Urban,1456,2,building,587331,0.56012249
Train,Urban,1456,3,road,40819,0.03892803
Train,Urban,1456,5,barren,22693,0.02164173
Train,Urban,1456,6,forest,3620,0.0034523
Train,Urban,1457,1,background,597006,0.56934929
Train,Urban,1457,2,building,151494,0.14447594
Train,Urban,1457,3,road,90910,0.08669853
Train,Urban,1457,5,barren,203395,0.19397259
Train,Urban,1457,6,forest,5771,0.00550365
Train,Urban,1458,0,no-data,527917,0.50346088
Train,Urban,1458,1,background,324204,0.30918503
Train,Urban,1458,3,road,99006,0.09441948
Train,Urban,1458,5,barren,77157,0.07358265
Train,Urban,1458,6,forest,20292,0.01935196
Train,Urban,1459,1,background,603236,0.57529068
Train,Urban,1459,2,building,170457,0.16256046
Train,Urban,1459,3,road,274883,0.26214886
Train,Urban,1460,1,background,436843,0.41660595
Train,Urban,1460,2,building,555594,0.52985573
Train,Urban,1460,3,road,55709,0.05312824
Train,Urban,1460,5,barren,430,0.00041008
Train,Urban,1461,1,background,923124,0.88035965
Train,Urban,1461,2,building,23336,0.02225494
Train,Urban,1461,3,road,6623,0.00631618
Train,Urban,1461,5,barren,95493,0.09106922
Train,Urban,1462,1,background,651184,0.62101746
Train,Urban,1462,2,building,304620,0.29050827
Train,Urban,1462,3,road,55627,0.05305004
Train,Urban,1462,5,barren,5984,0.00570679
Train,Urban,1462,6,forest,31161,0.02971745
Train,Urban,1463,1,background,882688,0.84179688
Train,Urban,1463,2,building,123510,0.11778831
Train,Urban,1463,5,barren,12286,0.01171684
Train,Urban,1463,6,forest,30092,0.02869797
Train,Urban,1464,1,background,679606,0.64812279
Train,Urban,1464,2,building,40888,0.03899384
Train,Urban,1464,3,road,23226,0.02215004
Train,Urban,1464,4,water,304856,0.29073334
Train,Urban,1465,1,background,546475,0.52115917
Train,Urban,1465,2,building,238548,0.2274971
Train,Urban,1465,3,road,197374,0.18823051
Train,Urban,1465,6,forest,12768,0.01217651
Train,Urban,1465,7,agriculture,53411,0.0509367
Train,Urban,1466,0,no-data,265040,0.25276184
Train,Urban,1466,1,background,594507,0.56696606
Train,Urban,1466,2,building,85152,0.08120728
Train,Urban,1466,3,road,21847,0.02083492
Train,Urban,1466,4,water,25560,0.02437592
Train,Urban,1466,5,barren,47309,0.04511738
Train,Urban,1466,6,forest,9161,0.00873661
Train,Urban,1467,0,no-data,320454,0.30560875
Train,Urban,1467,1,background,416771,0.3974638
Train,Urban,1467,2,building,77323,0.07374096
Train,Urban,1467,3,road,8151,0.0077734
Train,Urban,1467,4,water,108577,0.1035471
Train,Urban,1467,7,agriculture,117300,0.111866
Train,Urban,1468,1,background,523849,0.49958134
Train,Urban,1468,2,building,273245,0.26058674
Train,Urban,1468,3,road,149605,0.14267445
Train,Urban,1468,4,water,11226,0.01070595
Train,Urban,1468,5,barren,3481,0.00331974
Train,Urban,1468,6,forest,87170,0.08313179
Train,Urban,1469,0,no-data,469181,0.44744587
Train,Urban,1469,1,background,335904,0.32034302
Train,Urban,1469,2,building,135323,0.12905407
Train,Urban,1469,3,road,80952,0.07720184
Train,Urban,1469,5,barren,27216,0.0259552
Train,Urban,1470,1,background,657816,0.62734222
Train,Urban,1470,2,building,319380,0.3045845
Train,Urban,1470,3,road,68941,0.06574726
Train,Urban,1470,6,forest,2439,0.00232601
Train,Urban,1471,1,background,533718,0.50899315
Train,Urban,1471,2,building,130402,0.12436104
Train,Urban,1471,3,road,30453,0.02904224
Train,Urban,1471,5,barren,294609,0.28096104
Train,Urban,1471,6,forest,59394,0.05664253
Train,Urban,1472,1,background,520219,0.4961195
Train,Urban,1472,2,building,443665,0.42311192
Train,Urban,1472,3,road,34661,0.03305531
Train,Urban,1472,4,water,50031,0.04771328
Train,Urban,1473,1,background,400414,0.38186455
Train,Urban,1473,2,building,212507,0.20266247
Train,Urban,1473,3,road,435655,0.41547298
Train,Urban,1474,1,background,343386,0.32747841
Train,Urban,1474,2,building,326654,0.31152153
Train,Urban,1474,3,road,214437,0.20450306
Train,Urban,1474,6,forest,164099,0.156497
Train,Urban,1475,0,no-data,378660,0.36111832
Train,Urban,1475,1,background,451270,0.43036461
Train,Urban,1475,2,building,149666,0.14273262
Train,Urban,1475,3,road,68980,0.06578445
Train,Urban,1476,1,background,374480,0.35713196
Train,Urban,1476,3,road,166590,0.1588726
Train,Urban,1476,4,water,81909,0.07811451
Train,Urban,1476,5,barren,323278,0.30830193
Train,Urban,1476,6,forest,96118,0.09166527
Train,Urban,1476,7,agriculture,6201,0.00591373
Train,Urban,1477,1,background,575005,0.5483675
Train,Urban,1477,2,building,244324,0.23300552
Train,Urban,1477,3,road,70165,0.06691456
Train,Urban,1477,5,barren,108898,0.10385323
Train,Urban,1477,6,forest,50184,0.04785919
Train,Urban,1478,1,background,303164,0.28911972
Train,Urban,1478,2,building,113822,0.10854912
Train,Urban,1478,3,road,47309,0.04511738
Train,Urban,1478,4,water,7360,0.00701904
Train,Urban,1478,5,barren,321789,0.3068819
Train,Urban,1478,6,forest,106641,0.10170078
Train,Urban,1478,7,agriculture,148491,0.14161205
Train,Urban,1479,1,background,422345,0.40277958
Train,Urban,1479,2,building,200143,0.19087124
Train,Urban,1479,3,road,157698,0.15039253
Train,Urban,1479,4,water,43635,0.04161358
Train,Urban,1479,5,barren,98526,0.09396172
Train,Urban,1479,6,forest,126229,0.12038136
Train,Urban,1480,1,background,379953,0.36235142
Train,Urban,1480,2,building,153677,0.14655781
Train,Urban,1480,3,road,87118,0.0830822
Train,Urban,1480,4,water,21945,0.02092838
Train,Urban,1480,5,barren,362153,0.34537601
Train,Urban,1480,6,forest,43730,0.04170418
Train,Urban,1481,1,background,247856,0.2363739
Train,Urban,1481,2,building,90554,0.08635902
Train,Urban,1481,3,road,167868,0.1600914
Train,Urban,1481,4,water,42626,0.04065132
Train,Urban,1481,5,barren,9814,0.00935936
Train,Urban,1481,6,forest,121869,0.11622334
Train,Urban,1481,7,agriculture,367989,0.35094166
Train,Urban,1482,0,no-data,468485,0.44678211
Train,Urban,1482,1,background,63394,0.06045723
Train,Urban,1482,2,building,31293,0.02984333
Train,Urban,1482,3,road,14078,0.01342583
Train,Urban,1482,4,water,64721,0.06172276
Train,Urban,1482,5,barren,52122,0.04970741
Train,Urban,1482,6,forest,271967,0.25936794
Train,Urban,1482,7,agriculture,82516,0.07869339
Train,Urban,1483,0,no-data,57438,0.05477715
Train,Urban,1483,1,background,538225,0.51329136
Train,Urban,1483,2,building,163017,0.15546513
Train,Urban,1483,4,water,152342,0.14528465
Train,Urban,1483,5,barren,123349,0.11763477
Train,Urban,1483,6,forest,14205,0.01354694
Train,Urban,1484,1,background,121636,0.11600113
Train,Urban,1484,2,building,34275,0.03268719
Train,Urban,1484,3,road,86640,0.08262634
Train,Urban,1484,4,water,80382,0.07665825
Train,Urban,1484,6,forest,608408,0.58022308
Train,Urban,1484,7,agriculture,117235,0.11180401
Train,Urban,1485,1,background,432273,0.41224766
Train,Urban,1485,2,building,309054,0.29473686
Train,Urban,1485,3,road,163706,0.15612221
Train,Urban,1485,5,barren,136335,0.13001919
Train,Urban,1485,6,forest,7208,0.00687408
Train,Urban,1486,1,background,381383,0.36371517
Train,Urban,1486,2,building,349998,0.3337841
Train,Urban,1486,6,forest,317195,0.30250072
Train,Urban,1487,0,no-data,145092,0.13837051
Train,Urban,1487,1,background,693893,0.66174793
Train,Urban,1487,6,forest,209591,0.19988155
Train,Urban,1488,1,background,590553,0.56319523
Train,Urban,1488,2,building,265319,0.25302792
Train,Urban,1488,3,road,93719,0.0893774
Train,Urban,1488,4,water,3908,0.00372696
Train,Urban,1488,5,barren,18219,0.01737499
Train,Urban,1488,6,forest,592,0.00056458
Train,Urban,1488,7,agriculture,76266,0.07273293
Train,Urban,1489,1,background,572600,0.54607391
Train,Urban,1489,2,building,77520,0.07392883
Train,Urban,1489,3,road,98632,0.09406281
Train,Urban,1489,4,water,69319,0.06610775
Train,Urban,1489,6,forest,230505,0.2198267
Train,Urban,1490,0,no-data,498554,0.47545815
Train,Urban,1490,4,water,550022,0.52454185
Train,Urban,1491,0,no-data,432874,0.41282082
Train,Urban,1491,1,background,401791,0.38317776
Train,Urban,1491,2,building,89979,0.08581066
Train,Urban,1491,3,road,6965,0.00664234
Train,Urban,1491,5,barren,116967,0.11154842
Train,Urban,1492,0,no-data,27920,0.02662659
Train,Urban,1492,1,background,856190,0.81652641
Train,Urban,1492,4,water,164466,0.156847
Train,Urban,1493,0,no-data,410834,0.39180183
Train,Urban,1493,1,background,257355,0.24543285
Train,Urban,1493,2,building,32398,0.03089714
Train,Urban,1493,3,road,93087,0.08877468
Train,Urban,1493,4,water,254902,0.24309349
