split,domain,sample_id,total_pixels,present_class_count,dominant_class_id,dominant_class_name,dominant_ratio,boundary_density,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,ratio_0,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7
Train,Urban,1409,1048576,4,1,background,0.36123657,0.00557442,0,378784,261209,376654,31929,0,0,0,0.00000000,0.36123657,0.24910831,0.35920525,0.03044987,0.00000000,0.00000000,0.00000000
Train,Urban,1410,1048576,3,1,background,0.56267071,0.00875517,0,590003,224299,234274,0,0,0,0,0.00000000,0.56267071,0.21390820,0.22342110,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1411,1048576,5,1,background,0.67441940,0.00584792,0,707180,47475,19059,97455,0,0,177407,0.00000000,0.67441940,0.04527569,0.01817608,0.09294033,0.00000000,0.00000000,0.16918850
Train,Urban,1412,1048576,6,2,building,0.46951389,0.01386232,0,378029,492321,66987,344,9801,101094,0,0.00000000,0.36051655,0.46951389,0.06388378,0.00032806,0.00934696,0.09641075,0.00000000
Train,Urban,1413,1048576,6,1,background,0.43316460,0.00746789,0,454206,176815,36229,248225,114518,18583,0,0.00000000,0.43316460,0.16862392,0.03455067,0.23672581,0.10921288,0.01772213,0.00000000
Train,Urban,1414,1048576,2,2,building,0.86873341,0.00294687,0,137643,910933,0,0,0,0,0,0.00000000,0.13126659,0.86873341,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1415,1048576,5,1,background,0.64271259,0.00938426,0,673933,180190,69582,83447,0,41424,0,0.00000000,0.64271259,0.17184258,0.06635857,0.07958126,0.00000000,0.03950500,0.00000000
Train,Urban,1416,1048576,5,1,background,0.50471497,0.01171064,0,529232,107873,153397,0,142832,115242,0,0.00000000,0.50471497,0.10287571,0.14629078,0.00000000,0.13621521,0.10990334,0.00000000
Train,Urban,1417,1048576,3,1,background,0.44583511,0.00759485,0,467492,432307,148777,0,0,0,0,0.00000000,0.44583511,0.41228008,0.14188480,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1418,1048576,5,1,background,0.48781300,0.00699583,0,511509,268918,84194,0,166776,17179,0,0.00000000,0.48781300,0.25646019,0.08029366,0.00000000,0.15904999,0.01638317,0.00000000
Train,Urban,1419,1048576,3,1,background,0.76175499,0.00516251,0,798758,243994,5824,0,0,0,0,0.00000000,0.76175499,0.23269081,0.00555420,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1420,1048576,6,1,background,0.52700901,0.00803731,0,552609,94032,214461,0,2914,19781,164779,0.00000000,0.52700901,0.08967590,0.20452595,0.00000000,0.00277901,0.01886463,0.15714550
Train,Urban,1421,1048576,3,5,barren,0.54071140,0.00916040,0,0,0,13421,0,566977,468178,0,0.00000000,0.00000000,0.00000000,0.01279926,0.00000000,0.54071140,0.44648933,0.00000000
Train,Urban,1422,1048576,5,1,background,0.54045582,0.01174977,0,566709,236916,166233,0,78347,0,371,0.00000000,0.54045582,0.22594070,0.15853214,0.00000000,0.07471752,0.00000000,0.00035381
Train,Urban,1423,1048576,4,1,background,0.34712219,0.00952554,0,363984,234946,122600,0,0,327046,0,0.00000000,0.34712219,0.22406197,0.11692047,0.00000000,0.00000000,0.31189537,0.00000000
Train,Urban,1425,1048576,5,1,background,0.78402901,0.00793755,0,822114,123356,20679,0,23164,59263,0,0.00000000,0.78402901,0.11764145,0.01972103,0.00000000,0.02209091,0.05651760,0.00000000
Train,Urban,1426,1048576,4,1,background,0.40122318,0.01170061,0,420713,151421,59118,0,0,417324,0,0.00000000,0.40122318,0.14440632,0.05637932,0.00000000,0.00000000,0.39799118,0.00000000
Train,Urban,1428,1048576,3,2,building,0.80916214,0.00308242,0,115383,848468,84725,0,0,0,0,0.00000000,0.11003780,0.80916214,0.08080006,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1429,1048576,5,1,background,0.64811993,0.00933892,0,679603,139344,89674,0,43734,0,96221,0.00000000,0.64811993,0.13288879,0.08551979,0.00000000,0.04170799,0.00000000,0.09176350
Train,Urban,1430,1048576,5,1,background,0.67201710,0.00616724,0,704661,0,101176,68292,137913,36534,0,0.00000000,0.67201710,0.00000000,0.09648895,0.06512833,0.13152409,0.03484154,0.00000000
Train,Urban,1431,1048576,6,6,forest,0.76234245,0.00253687,0,37688,628,178060,30432,2394,799374,0,0.00000000,0.03594208,0.00059891,0.16981125,0.02902222,0.00228310,0.76234245,0.00000000
Train,Urban,1432,1048576,4,1,background,0.52330780,0.01527275,0,548728,313061,71494,115293,0,0,0,0.00000000,0.52330780,0.29855824,0.06818199,0.10995197,0.00000000,0.00000000,0.00000000
Train,Urban,1433,1048576,3,1,background,0.62508106,0.00912365,0,655445,392747,384,0,0,0,0,0.00000000,0.62508106,0.37455273,0.00036621,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1434,1048576,5,5,barren,0.58347511,0.00545558,0,237655,152386,22885,0,611818,23832,0,0.00000000,0.22664547,0.14532661,0.02182484,0.00000000,0.58347511,0.02272797,0.00000000
Train,Urban,1436,1048576,3,1,background,0.47387886,0.01245523,0,496898,424222,127456,0,0,0,0,0.00000000,0.47387886,0.40456963,0.12155151,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1437,1048576,5,1,background,0.79121590,0.00633572,0,829650,100501,7597,75651,0,35177,0,0.00000000,0.79121590,0.09584522,0.00724506,0.07214642,0.00000000,0.03354740,0.00000000
Train,Urban,1438,1048576,6,1,background,0.49678898,0.00871651,0,520921,238418,161548,0,60353,32784,34552,0.00000000,0.49678898,0.22737312,0.15406418,0.00000000,0.05755711,0.03126526,0.03295135
Train,Urban,1439,1048576,6,1,background,0.65973282,0.00922723,59759,691780,191894,0,51893,23462,29788,0,0.05699062,0.65973282,0.18300438,0.00000000,0.04948902,0.02237511,0.02840805,0.00000000
Train,Urban,1440,1048576,3,1,background,0.51065636,0.01241036,0,535462,446143,66971,0,0,0,0,0.00000000,0.51065636,0.42547512,0.06386852,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1441,1048576,4,3,road,0.39875031,0.00615053,0,341425,202966,418120,86065,0,0,0,0.00000000,0.32560825,0.19356346,0.39875031,0.08207798,0.00000000,0.00000000,0.00000000
Train,Urban,1442,1048576,6,2,building,0.41780853,0.01241895,0,281154,438104,33836,0,15800,99391,180291,0.00000000,0.26812935,0.41780853,0.03226852,0.00000000,0.01506805,0.09478664,0.17193890
Train,Urban,1443,1048576,6,1,background,0.55291367,0.01105673,0,579772,240283,113033,15268,57815,42405,0,0.00000000,0.55291367,0.22915173,0.10779667,0.01456070,0.05513668,0.04044056,0.00000000
Train,Urban,1444,1048576,4,2,building,0.39730930,0.00947208,0,365504,416609,249262,0,0,17201,0,0.00000000,0.34857178,0.39730930,0.23771477,0.00000000,0.00000000,0.01640415,0.00000000
Train,Urban,1445,1048576,5,1,background,0.67854118,0.00811081,0,711502,244465,74370,0,4500,13739,0,0.00000000,0.67854118,0.23313999,0.07092476,0.00000000,0.00429153,0.01310253,0.00000000
Train,Urban,1447,1048576,6,2,building,0.41035175,0.00998996,0,428409,430285,132056,37292,2,20532,0,0.00000000,0.40856266,0.41035175,0.12593842,0.03556442,0.00000191,0.01958084,0.00000000
Train,Urban,1448,1048576,3,2,building,0.52029419,0.01183999,0,406936,545568,0,0,96072,0,0,0.00000000,0.38808441,0.52029419,0.00000000,0.00000000,0.09162140,0.00000000,0.00000000
Train,Urban,1449,1048576,4,4,water,0.72342968,0.00157987,0,264243,5990,19772,758571,0,0,0,0.00000000,0.25200176,0.00571251,0.01885605,0.72342968,0.00000000,0.00000000,0.00000000
Train,Urban,1450,1048576,7,1,background,0.41873074,0.01243375,0,439071,266664,44496,35152,63597,400,199196,0.00000000,0.41873074,0.25431061,0.04243469,0.03352356,0.06065083,0.00038147,0.18996811
Train,Urban,1451,1048576,3,1,background,0.66511059,0.00955036,0,697419,252740,98417,0,0,0,0,0.00000000,0.66511059,0.24103165,0.09385777,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1452,1048576,4,1,background,0.56522942,0.01219844,0,592686,360562,24987,0,0,70341,0,0.00000000,0.56522942,0.34385872,0.02382946,0.00000000,0.00000000,0.06708241,0.00000000
Train,Urban,1453,1048576,3,1,background,0.66922665,0.00489284,0,701735,319723,0,0,0,27118,0,0.00000000,0.66922665,0.30491161,0.00000000,0.00000000,0.00000000,0.02586174,0.00000000
Train,Urban,1454,1048576,3,1,background,0.66691685,0.00867260,0,699313,328990,0,0,0,20273,0,0.00000000,0.66691685,0.31374931,0.00000000,0.00000000,0.00000000,0.01933384,0.00000000
Train,Urban,1455,1048576,4,5,barren,0.84293652,0.00160517,89625,0,0,3171,0,883883,71897,0,0.08547306,0.00000000,0.00000000,0.00302410,0.00000000,0.84293652,0.06856632,0.00000000
Train,Urban,1456,1048576,5,2,building,0.56012249,0.01216455,0,394113,587331,40819,0,22693,3620,0,0.00000000,0.37585545,0.56012249,0.03892803,0.00000000,0.02164173,0.00345230,0.00000000
Train,Urban,1457,1048576,5,1,background,0.56934929,0.00490525,0,597006,151494,90910,0,203395,5771,0,0.00000000,0.56934929,0.14447594,0.08669853,0.00000000,0.19397259,0.00550365,0.00000000
Train,Urban,1459,1048576,3,1,background,0.57529068,0.00841581,0,603236,170457,274883,0,0,0,0,0.00000000,0.57529068,0.16256046,0.26214886,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1460,1048576,4,2,building,0.52985573,0.01185955,0,436843,555594,55709,0,430,0,0,0.00000000,0.41660595,0.52985573,0.05312824,0.00000000,0.00041008,0.00000000,0.00000000
Train,Urban,1461,1048576,4,1,background,0.88035965,0.00091356,0,923124,23336,6623,0,95493,0,0,0.00000000,0.88035965,0.02225494,0.00631618,0.00000000,0.09106922,0.00000000,0.00000000
Train,Urban,1462,1048576,5,1,background,0.62101746,0.01309672,0,651184,304620,55627,0,5984,31161,0,0.00000000,0.62101746,0.29050827,0.05305004,0.00000000,0.00570679,0.02971745,0.00000000
Train,Urban,1463,1048576,4,1,background,0.84179688,0.00527181,0,882688,123510,0,0,12286,30092,0,0.00000000,0.84179688,0.11778831,0.00000000,0.00000000,0.01171684,0.02869797,0.00000000
Train,Urban,1464,1048576,4,1,background,0.64812279,0.00240656,0,679606,40888,23226,304856,0,0,0,0.00000000,0.64812279,0.03899384,0.02215004,0.29073334,0.00000000,0.00000000,0.00000000
Train,Urban,1465,1048576,5,1,background,0.52115917,0.01147389,0,546475,238548,197374,0,0,12768,53411,0.00000000,0.52115917,0.22749710,0.18823051,0.00000000,0.00000000,0.01217651,0.05093670
Train,Urban,1468,1048576,6,1,background,0.49958134,0.01189106,0,523849,273245,149605,11226,3481,87170,0,0.00000000,0.49958134,0.26058674,0.14267445,0.01070595,0.00331974,0.08313179,0.00000000
Train,Urban,1470,1048576,4,1,background,0.62734222,0.00957279,0,657816,319380,68941,0,0,2439,0,0.00000000,0.62734222,0.30458450,0.06574726,0.00000000,0.00000000,0.00232601,0.00000000
Train,Urban,1471,1048576,5,1,background,0.50899315,0.00816236,0,533718,130402,30453,0,294609,59394,0,0.00000000,0.50899315,0.12436104,0.02904224,0.00000000,0.28096104,0.05664253,0.00000000
Train,Urban,1472,1048576,4,1,background,0.49611950,0.01298360,0,520219,443665,34661,50031,0,0,0,0.00000000,0.49611950,0.42311192,0.03305531,0.04771328,0.00000000,0.00000000,0.00000000
Train,Urban,1473,1048576,3,3,road,0.41547298,0.00561309,0,400414,212507,435655,0,0,0,0,0.00000000,0.38186455,0.20266247,0.41547298,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1474,1048576,4,1,background,0.32747841,0.01181469,0,343386,326654,214437,0,0,164099,0,0.00000000,0.32747841,0.31152153,0.20450306,0.00000000,0.00000000,0.15649700,0.00000000
Train,Urban,1476,1048576,6,1,background,0.35713196,0.00751132,0,374480,0,166590,81909,323278,96118,6201,0.00000000,0.35713196,0.00000000,0.15887260,0.07811451,0.30830193,0.09166527,0.00591373
Train,Urban,1477,1048576,5,1,background,0.54836750,0.01316880,0,575005,244324,70165,0,108898,50184,0,0.00000000,0.54836750,0.23300552,0.06691456,0.00000000,0.10385323,0.04785919,0.00000000
Train,Urban,1478,1048576,7,5,barren,0.30688190,0.00874754,0,303164,113822,47309,7360,321789,106641,148491,0.00000000,0.28911972,0.10854912,0.04511738,0.00701904,0.30688190,0.10170078,0.14161205
Train,Urban,1479,1048576,6,1,background,0.40277958,0.01474819,0,422345,200143,157698,43635,98526,126229,0,0.00000000,0.40277958,0.19087124,0.15039253,0.04161358,0.09396172,0.12038136,0.00000000
Train,Urban,1480,1048576,6,1,background,0.36235142,0.01119276,0,379953,153677,87118,21945,362153,43730,0,0.00000000,0.36235142,0.14655781,0.08308220,0.02092838,0.34537601,0.04170418,0.00000000
Train,Urban,1481,1048576,7,7,agriculture,0.35094166,0.01023243,0,247856,90554,167868,42626,9814,121869,367989,0.00000000,0.23637390,0.08635902,0.16009140,0.04065132,0.00935936,0.11622334,0.35094166
Train,Urban,1483,1048576,6,1,background,0.51329136,0.00869790,57438,538225,163017,0,152342,123349,14205,0,0.05477715,0.51329136,0.15546513,0.00000000,0.14528465,0.11763477,0.01354694,0.00000000
Train,Urban,1484,1048576,6,6,forest,0.58022308,0.00899955,0,121636,34275,86640,80382,0,608408,117235,0.00000000,0.11600113,0.03268719,0.08262634,0.07665825,0.00000000,0.58022308,0.11180401
Train,Urban,1485,1048576,5,1,background,0.41224766,0.00599302,0,432273,309054,163706,0,136335,7208,0,0.00000000,0.41224766,0.29473686,0.15612221,0.00000000,0.13001919,0.00687408,0.00000000
Train,Urban,1486,1048576,3,1,background,0.36371517,0.01479401,0,381383,349998,0,0,0,317195,0,0.00000000,0.36371517,0.33378410,0.00000000,0.00000000,0.00000000,0.30250072,0.00000000
Train,Urban,1488,1048576,7,1,background,0.56319523,0.01090256,0,590553,265319,93719,3908,18219,592,76266,0.00000000,0.56319523,0.25302792,0.08937740,0.00372696,0.01737499,0.00056458,0.07273293
Train,Urban,1489,1048576,5,1,background,0.54607391,0.01046106,0,572600,77520,98632,69319,0,230505,0,0.00000000,0.54607391,0.07392883,0.09406281,0.06610775,0.00000000,0.21982670,0.00000000
Train,Urban,1492,1048576,3,1,background,0.81652641,0.00165147,27920,856190,0,0,164466,0,0,0,0.02662659,0.81652641,0.00000000,0.00000000,0.15684700,0.00000000,0.00000000,0.00000000
Train,Urban,1494,1048576,3,1,background,0.59940529,0.00785164,0,628522,366158,53896,0,0,0,0,0.00000000,0.59940529,0.34919548,0.05139923,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1495,1048576,5,1,background,0.61452293,0.01041046,0,644374,149508,164746,0,22559,67389,0,0.00000000,0.61452293,0.14258194,0.15711403,0.00000000,0.02151394,0.06426716,0.00000000
Train,Urban,1496,1048576,3,1,background,0.39239883,0.01218412,0,411460,332043,0,0,0,305073,0,0.00000000,0.39239883,0.31666088,0.00000000,0.00000000,0.00000000,0.29094028,0.00000000
Train,Urban,1497,1048576,6,1,background,0.80751610,0.00312586,0,846742,1257,176547,5154,0,15294,3582,0.00000000,0.80751610,0.00119877,0.16836834,0.00491524,0.00000000,0.01458549,0.00341606
Train,Urban,1498,1048576,4,1,background,0.61847496,0.00778959,0,648518,337370,0,0,34126,28562,0,0.00000000,0.61847496,0.32174110,0.00000000,0.00000000,0.03254509,0.02723885,0.00000000
Train,Urban,1499,1048576,5,5,barren,0.36364841,0.00838861,0,270054,360135,28770,0,381313,8304,0,0.00000000,0.25754356,0.34345150,0.02743721,0.00000000,0.36364841,0.00791931,0.00000000
Train,Urban,1500,1048576,7,1,background,0.49272919,0.01061761,0,516664,224406,88529,4278,33984,165789,14926,0.00000000,0.49272919,0.21401024,0.08442783,0.00407982,0.03240967,0.15810871,0.01423454
Train,Urban,1501,1048576,5,1,background,0.67625809,0.00703497,0,709108,203480,58152,0,8479,69357,0,0.00000000,0.67625809,0.19405365,0.05545807,0.00000000,0.00808620,0.06614399,0.00000000
Train,Urban,1502,1048576,4,1,background,0.68253994,0.00492672,0,715695,255582,0,0,3149,74150,0,0.00000000,0.68253994,0.24374199,0.00000000,0.00000000,0.00300312,0.07071495,0.00000000
Train,Urban,1503,1048576,5,1,background,0.44303799,0.00967637,0,464559,178024,168178,0,224826,12989,0,0.00000000,0.44303799,0.16977692,0.16038704,0.00000000,0.21441078,0.01238728,0.00000000
Train,Urban,1504,1048576,4,1,background,0.60555363,0.01245141,0,634969,187567,49833,0,0,176207,0,0.00000000,0.60555363,0.17887783,0.04752445,0.00000000,0.00000000,0.16804409,0.00000000
Train,Urban,1505,1048576,5,2,building,0.48960304,0.01218269,0,425603,513386,65153,16541,27893,0,0,0.00000000,0.40588665,0.48960304,0.06213474,0.01577473,0.02660084,0.00000000,0.00000000
Train,Urban,1506,1048576,7,1,background,0.78661442,0.00683212,0,824825,1120,49232,2041,12997,59100,99261,0.00000000,0.78661442,0.00106812,0.04695129,0.00194645,0.01239491,0.05636215,0.09466267
Train,Urban,1507,1048576,7,1,background,0.36763573,0.01187912,0,385494,339940,124086,36447,10259,29280,123070,0.00000000,0.36763573,0.32419205,0.11833763,0.03475857,0.00978374,0.02792358,0.11736870
Train,Urban,1508,1048576,4,1,background,0.74388599,0.00258651,0,780021,107332,150208,11015,0,0,0,0.00000000,0.74388599,0.10235977,0.14324951,0.01050472,0.00000000,0.00000000,0.00000000
Train,Urban,1509,1048576,5,1,background,0.56993198,0.00805783,57006,597617,201053,117507,0,0,75393,0,0.05436516,0.56993198,0.19173908,0.11206341,0.00000000,0.00000000,0.07190037,0.00000000
Train,Urban,1510,1048576,4,5,barren,0.75022984,0.00346952,0,169,195389,0,0,786673,66345,0,0.00000000,0.00016117,0.18633747,0.00000000,0.00000000,0.75022984,0.06327152,0.00000000
Train,Urban,1511,1048576,7,7,agriculture,0.40889359,0.01094122,0,295286,18688,97859,21176,164413,22398,428756,0.00000000,0.28160667,0.01782227,0.09332561,0.02019501,0.15679646,0.02136040,0.40889359
Train,Urban,1512,1048576,4,1,background,0.53571320,0.01072405,0,561736,357936,96412,0,0,32492,0,0.00000000,0.53571320,0.34135437,0.09194565,0.00000000,0.00000000,0.03098679,0.00000000
Train,Urban,1513,1048576,5,1,background,0.69018555,0.00557347,0,723712,23460,217877,24287,59240,0,0,0.00000000,0.69018555,0.02237320,0.20778370,0.02316189,0.05649567,0.00000000,0.00000000
Train,Urban,1514,1048576,4,1,background,0.68743515,0.00481265,0,720828,45962,52793,0,228993,0,0,0.00000000,0.68743515,0.04383278,0.05034733,0.00000000,0.21838474,0.00000000,0.00000000
Train,Urban,1515,1048576,5,1,background,0.50910950,0.01199415,0,533840,274380,122798,0,3889,113669,0,0.00000000,0.50910950,0.26166916,0.11710930,0.00000000,0.00370884,0.10840321,0.00000000
Train,Urban,1517,1048576,6,1,background,0.35341835,0.00835042,0,370586,122734,163495,8294,143558,239909,0,0.00000000,0.35341835,0.11704826,0.15592098,0.00790977,0.13690758,0.22879505,0.00000000
Train,Urban,1518,1048576,6,1,background,0.46284103,0.00834994,0,485324,156859,12199,0,119508,5105,269581,0.00000000,0.46284103,0.14959240,0.01163387,0.00000000,0.11397171,0.00486851,0.25709248
Train,Urban,1520,1048576,7,1,background,0.61845016,0.00866449,0,648492,29020,197458,235,105601,56847,10923,0.00000000,0.61845016,0.02767563,0.18831062,0.00022411,0.10070896,0.05421352,0.01041698
Train,Urban,1521,1048576,4,1,background,0.56758213,0.00959523,0,595153,362828,24054,66541,0,0,0,0.00000000,0.56758213,0.34601974,0.02293968,0.06345844,0.00000000,0.00000000,0.00000000
Train,Urban,1522,1048576,4,1,background,0.95990181,0.00158847,0,1006530,29,40500,0,0,1517,0,0.00000000,0.95990181,0.00002766,0.03862381,0.00000000,0.00000000,0.00144672,0.00000000
Train,Urban,1525,1048576,5,1,background,0.56021881,0.01259126,0,587432,129188,172400,0,110853,48703,0,0.00000000,0.56021881,0.12320328,0.16441345,0.00000000,0.10571766,0.04644680,0.00000000
