split,domain,sample_id,image_path,mask_path,has_mask,width,height,pixel_count,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,min_r,min_g,min_b,max_r,max_g,max_b,split_domain,brightness_mean,brightness_std,rg_gap,gb_gap,rb_gap,z_mean_r,z_mean_g,z_mean_b,z_std_r,z_std_g,z_std_b,z_brightness_mean,z_brightness_std,z_rg_gap,z_gb_gap,z_rb_gap,rgb_outlier_score
Val,Rural,2636,/mnt/e/Computer Vision/data/LoveDA/Val/Rural/images_png/2636.png,/mnt/e/Computer Vision/data/LoveDA/Val/Rural/masks_png/2636.png,True,1024,1024,1048576,1.0,142.605087,124.932129,123.594124,60.610542,60.826752,56.734077,11,0,0,255,255,255,Val-Rural,130.37711333333334,59.390457000000005,17.672957999999994,1.3380050000000097,19.010963000000004,4.490945306164003,3.6361047054728357,3.436382970306172,2.9288789219444458,3.8192801975520836,3.52257056955607,4.134376854042184,3.4903293881643696,3.4149596830767077,0.8540262003685792,2.70778678884551,11.391716392448515
Train,Urban,2152,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/2152.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/2152.png,True,1024,1024,1048576,1.0,155.795074,152.496414,152.278397,41.645073,39.402699,35.116222,43,51,58,255,255,255,Train-Urban,153.523295,38.72133133333333,3.2986600000000124,0.21801699999997481,3.516676999999987,5.602536024566603,5.34401085920116,5.22318439922269,0.4938784949605421,0.6131617231402039,0.24838777475834048,5.4315922661231655,0.4644873905240116,2.932586870120428,-0.45796357628391837,1.822806936867204,11.391244953460063
Test,Rural,4191,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4191.png,,False,1024,1024,1048576,1.0,30.183613,36.02462,34.274712,34.561256,40.525925,37.413303,0,0,0,255,255,255,Test-Rural,33.494315,37.50016133333333,-5.841006999999998,1.7499079999999978,-4.091099,-5.399460973921749,-5.714269384214709,-5.555017065382247,-0.010285240984469963,1.403623046961839,1.0710319207507648,-5.601558460168553,0.8572756668060616,0.389380771083259,-0.8904279941510457,-0.28244058319640536,11.354262268093617
Test,Rural,4733,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4733.png,,False,1024,1024,1048576,1.0,35.226646,37.522224,36.376945,42.908207,44.076832,42.064838,0,0,0,255,255,255,Test-Rural,36.37527166666667,43.01662566666667,-2.295577999999999,1.1452790000000022,-1.1502989999999969,-4.774020024744386,-5.521024695816736,-5.283372465955155,1.3743665668151666,1.9489010142354073,1.7406548503084143,-5.231455052541451,1.7161566746354955,2.235995477560546,-1.3063053542068943,1.2361235715143268,11.333640636197737
Train,Rural,118,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/118.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/118.png,True,1024,1024,1048576,1.0,155.11731,142.931183,138.222687,52.572704,46.836788,43.533051,6,0,0,255,255,255,Train-Rural,145.42372666666668,47.64751433333333,12.186126999999999,4.708495999999997,16.894622999999996,4.990204078311868,4.62495529137489,4.843854087219835,1.5533520821801967,1.8452493981327478,1.5640489403474611,4.941029693662823,1.6874345040661676,3.593781616471767,-0.1277649032930578,2.770076033266959,11.219870265545534
Test,Rural,4491,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4491.png,,False,1024,1024,1048576,1.0,35.813587,38.210686,36.903217,43.072826,44.389179,42.274986,0,0,0,255,255,255,Test-Rural,36.975829999999995,43.245663666666665,-2.3970990000000043,1.3074690000000047,-1.0896299999999997,-4.701227136783687,-5.432188378162775,-5.21536908734313,1.40167474149454,1.9968650801047738,1.770907212034313,-5.154304053285816,1.7518165423305645,2.1831188943272366,-1.1947474417887676,1.2674517028738688,11.195272721763503
Train,Urban,1598,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1598.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1598.png,True,1024,1024,1048576,1.0,98.629837,106.757187,125.36438,39.323029,34.352047,30.849237,0,10,25,253,246,255,Train-Urban,110.250468,34.841437666666664,-8.127350000000007,-18.607192999999995,-26.734543000000002,1.6563113084836176,2.0111445288333054,3.3382037393260244,0.20750841077191381,-0.03271375392289632,-0.3234887016670278,2.35347673595081,-0.04303110022691131,-1.3527844329639251,-7.422931541722366,-6.5557994355431815,11.114386964585279
Test,Rural,4379,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4379.png,,False,1024,1024,1048576,1.0,38.083435,39.504681,38.6558,44.892174,44.967831,43.47683,0,0,0,255,255,255,Test-Rural,38.747972,44.44561166666667,-1.4212459999999965,0.8488809999999987,-0.5723649999999978,-4.419718789007985,-5.265216561471892,-4.988905271487452,1.7034811732343036,2.0857229933981336,1.9439215610935556,-4.926645025787159,1.9386413789121089,2.69138587729601,-1.5101745331014491,1.5345559219593043,11.094400547759294
Train,Urban,2408,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/2408.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/2408.png,True,1024,1024,1048576,1.0,83.675919,93.325699,112.179871,42.852032,39.499771,39.310364,0,10,14,255,255,255,Train-Urban,96.39382966666666,40.55405566666667,-9.649780000000007,-18.854172000000005,-28.503952000000012,0.624013990904435,1.0324363814057176,2.41479849382761,0.6427287968679238,0.6255752539693864,0.8105015737493483,1.3678158349467013,0.7042211480769447,-1.9237779672733386,-7.514309052153118,-7.045868316163546,10.996581183491655
Train,Rural,200,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/200.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/200.png,True,1024,1024,1048576,1.0,118.886795,105.55909,89.856857,82.016525,66.610336,57.072899,0,0,0,255,248,234,Train-Rural,104.76758066666667,68.56658666666668,13.327705000000009,15.702232999999993,29.029938,2.7741409846734313,1.8776489066847049,1.1619730036054214,4.448711569094249,4.299441636285844,3.1105776124306193,2.0454693744029133,4.074850785437699,3.813511923733265,1.8350077013452029,4.642260336771045,10.9896584272904
Test,Rural,4813,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4813.png,,False,1024,1024,1048576,1.0,36.4417,39.271938,37.268967,42.623306,45.05978,42.485054,0,0,0,255,255,255,Test-Rural,37.66086833333333,43.389379999999996,-2.8302380000000014,2.002970999999995,-0.8272670000000062,-4.623328064754882,-5.295248765253271,-5.168107907330991,1.3271051554694042,2.0998426996627133,1.8011480571674392,-5.066300292432584,1.7741923290222361,1.9575211324347093,-0.7163655982556901,1.40293016020601,10.984866033097264
Train,Rural,251,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/251.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/251.png,True,1024,1024,1048576,1.0,148.298965,130.368439,119.375778,59.131954,44.755184,40.725788,2,2,4,255,255,255,Train-Rural,132.68106066666667,48.20430866666666,17.930526000000015,10.992660999999998,28.923187000000013,4.573155556804676,3.7014398008074143,3.40912056291761,2.1983562314222733,1.5868912936737791,1.2434018607363617,4.033487743395761,1.750979380033599,4.699460385073332,0.9941817928146081,4.625791250753637,10.905951396036434
Train,Rural,1297,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/1297.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/1297.png,True,1024,1024,1048576,1.0,132.355927,120.144035,102.585098,76.385559,57.664848,50.841408,0,0,0,255,255,255,Train-Rural,118.36168666666667,61.630605,12.211892000000006,17.558937,29.770829000000006,3.5979892332711803,2.9498209287027173,2.13091884337671,3.8949902695186784,3.1891731495129254,2.398813381301278,3.013651501390873,3.283272875364291,3.5987408495391473,2.166495324354767,4.756561819740993,10.83583681818272
Test,Rural,5049,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/5049.png,,False,1024,1024,1048576,1.0,50.474964,52.374935,52.386833,56.70578,57.172852,56.751007,0,0,0,255,255,255,Test-Rural,51.74557733333333,56.87654633333333,-1.8999710000000007,-0.011898000000002185,-1.911869000000003,-2.8829115423532805,-3.6044916810410537,-3.2146200428733214,3.663206455499964,3.9599283841366724,3.8548376974242005,-3.2569017490079704,3.8740646953023528,2.44204493002042,-2.1022375967512517,0.8428656473769967,10.597471603896935
Train,Rural,1296,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/1296.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/1296.png,True,1024,1024,1048576,1.0,110.882477,121.489807,130.513794,63.478569,56.210823,72.716927,0,0,0,255,255,255,Train-Rural,120.962026,64.13543966666667,-10.607330000000005,-9.023986999999991,-19.631316999999996,2.2845516506673906,3.0487516470849405,4.257009463395378,2.6257808165742116,3.008706959576726,4.8974468482500875,3.198849561979566,3.5691403827783224,-0.7934904842184264,-2.5795009622928884,-2.864989190728628,10.5371361164455
Test,Rural,4968,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4968.png,,False,1024,1024,1048576,1.0,81.602715,86.653221,90.36792,56.454132,58.342796,64.02874,0,0,0,227,226,248,Test-Rural,86.20795200000002,59.608556,-5.050505999999999,-3.714698999999996,-8.765204999999995,0.9775768048767693,0.8186379960208037,1.6931885415797328,3.6214612891357243,4.139585211573692,4.90252128832449,1.1703228762803501,4.299422510402838,0.8011083143749174,-4.649107007070911,-2.6960456657992165,10.399898887715059
Test,Rural,4910,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4910.png,,False,1024,1024,1048576,1.0,102.027603,105.239227,104.019806,58.900501,54.281002,54.41264,1,1,1,255,255,255,Test-Rural,103.76221199999999,55.86471433333333,-3.2116240000000005,1.219420999999997,-1.9922030000000035,3.5106876010110244,3.2169001120627123,3.457246618821558,4.027282439684588,3.5158553375432056,3.518212441262325,3.4254388658898565,3.7165284120234308,1.7588785996285115,-1.255308827031951,0.8013829444374793,10.317067073351204
Test,Rural,4387,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4387.png,,False,1024,1024,1048576,1.0,44.252571,46.495026,44.608353,50.63493,50.204288,47.692589,0,0,0,255,255,255,Test-Rural,45.11865,49.51060233333333,-2.2424549999999996,1.8866730000000018,-0.3557819999999978,-3.654617653353263,-4.363211063810749,-4.219733217174952,2.6561305271303803,2.8898343454204327,2.55081130649782,-4.108232980935735,2.7272305957673733,2.2636642626503596,-0.7963579658394029,1.6463945986186195,10.241930563737908
Train,Rural,817,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/817.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/817.png,True,1024,1024,1048576,1.0,129.497849,116.924324,103.044617,72.082062,58.593925,51.102341,0,0,0,255,245,227,Train-Rural,116.48893,60.59277599999999,12.573525000000004,13.879706999999996,26.453232,3.4231730272487164,2.7131327510521577,2.1659000338920267,3.4718056948720597,3.3044854628138345,2.428617287962023,2.8802724080643816,3.1648292937179177,3.66834777101617,1.5096220655017272,4.244737196420358,10.232654023462638
Test,Rural,4565,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4565.png,,False,1024,1024,1048576,1.0,41.412476,45.292168,42.711643,48.110264,49.733746,47.400749,0,0,0,255,255,255,Test-Rural,43.13876233333334,48.41491966666666,-3.8796919999999986,2.5805249999999944,-1.2991670000000042,-4.006848485979956,-4.518422935171275,-4.4648207161245725,2.237320911380836,2.8175778246845082,2.5087987760617154,-4.362580149926662,2.556639257521691,1.4109195250773456,-0.3191110292394883,1.159251424961182,10.229805720265558
Test,Rural,4768,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4768.png,,False,1024,1024,1048576,1.0,74.498802,79.141571,82.38768,57.426598,59.686554,64.845345,0,0,0,227,226,248,Test-Rural,78.67601766666667,60.65283233333333,-4.642769000000001,-3.246109000000004,-7.888878000000005,0.09654388488726916,-0.1506345644188202,0.6620045110122132,3.7827808901401725,4.345932950545058,5.020077628842495,0.20272950875651904,4.462010185302894,1.013475602106508,-4.326800316276112,-2.2435297619617662,10.178428122879435
Test,Rural,4192,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4192.png,,False,1024,1024,1048576,1.0,67.58345,70.07045,67.191803,63.182762,63.225067,60.147579,0,0,0,244,243,255,Test-Rural,68.28190099999999,62.185136,-2.4869999999999948,2.878647000000001,0.3916470000000061,-0.7611035504508641,-1.3211348776293188,-1.3015637141123804,4.737654458775137,4.889307692776014,4.343799404278708,-1.1325554131294915,4.700580841796593,2.1362945160285887,-0.11405604455537079,2.032350422745147,10.065952022869677
Train,Urban,2141,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/2141.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/2141.png,True,1024,1024,1048576,1.0,142.783478,139.716965,139.204193,44.976826,42.310627,42.608585,29,39,38,255,255,255,Train-Urban,140.56821200000002,43.29867933333333,3.0665130000000147,0.512771999999984,3.5792849999999987,4.704320877992707,4.412814639099907,4.3075045999737105,0.9047726843495965,0.9850264614482771,1.2525408600257595,4.510061482452115,1.0632380131403243,2.845519198037425,-0.34890985881394715,1.8401473214124873,9.828117957964443
Val,Rural,3378,/mnt/e/Computer Vision/data/LoveDA/Val/Rural/images_png/3378.png,/mnt/e/Computer Vision/data/LoveDA/Val/Rural/masks_png/3378.png,True,1024,1024,1048576,1.0,144.881363,138.57016,134.898315,41.760098,36.032295,33.229076,0,0,0,231,225,238,Val-Rural,139.44994599999998,37.007156333333334,6.311203000000006,3.6718449999999905,9.983047999999997,4.621808137919652,4.632025075997094,4.288373228913584,0.992183344130519,0.7424370197878908,0.6004743053968461,4.782960639497517,0.8154271543741464,2.0451329652227037,1.3287489882806531,1.9561507829581049,9.81933929320454
Train,Rural,395,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/395.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/395.png,True,1024,1024,1048576,1.0,132.17482,118.184097,103.117554,65.759453,48.947266,46.235149,0,0,0,255,255,255,Train-Rural,117.82549033333333,53.64728933333333,13.990723000000017,15.066542999999996,29.057266000000013,3.586911705427605,2.805741490042513,2.1714524116884086,2.85007164920597,2.1071911966604007,1.8726840174752513,2.9754632081342356,2.3721666131827592,3.9411292646945526,1.7215144535949165,4.646476383296923,9.802542805877893
Test,Rural,4216,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4216.png,,False,1024,1024,1048576,1.0,47.169693,50.03323,49.964241,51.253811,51.829975,50.943161,0,0,0,255,255,255,Test-Rural,49.05572133333334,51.34231566666667,-2.863537000000001,0.06898900000000197,-2.794547999999999,-3.2928338711439924,-3.906655706407553,-3.527660525738577,2.7587949246406627,3.139475156284549,3.018755231541503,-3.602455322633236,3.0124175740066264,1.9401775547996793,-2.046601707598003,0.38706971106174,9.761366389189046
Test,Rural,4235,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4235.png,,False,1024,1024,1048576,1.0,74.603737,77.419708,74.365631,63.262814,63.102573,59.988968,0,0,0,244,243,255,Test-Rural,75.46302533333333,62.118118333333335,-2.8159710000000047,3.0540770000000066,0.23810600000000193,0.10955800674646085,-0.3728167159749031,-0.3745819602255133,4.750934055902038,4.870497490390198,4.32096617557462,-0.21002901170476873,4.690146585792936,1.9649520109030993,0.006608636223421595,1.9530652422233685,9.745373615462603
Test,Rural,4949,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4949.png,,False,1024,1024,1048576,1.0,39.991985,45.071846,42.476974,43.869286,46.901981,43.412247,0,0,0,255,255,255,Test-Rural,42.513601666666666,44.727838,-5.079861000000001,2.5948720000000023,-2.484988999999999,-4.183018905514767,-4.546852383968965,-4.495143980245608,1.5337972109855078,2.3827314423386925,1.9346243597052781,-4.442891699116144,1.9825823568578256,0.7858189446798408,-0.309242841500024,0.5469191401858216,9.738209801553639
Train,Rural,396,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/396.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/396.png,True,1024,1024,1048576,1.0,127.784737,117.797348,100.691116,70.669556,53.514999,48.082607,0,0,0,255,254,248,Train-Rural,115.42440033333332,57.42238733333334,9.987389000000007,17.106232000000006,27.093621000000013,3.318389413809351,2.777310703547025,1.9867381997589697,3.3329068526523966,2.674114991750476,2.083701657220499,2.8044558301360407,2.8030045722165284,3.170569732283804,2.0856713996071807,4.343533662267079,9.708959409672975
Test,Rural,4866,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4866.png,,False,1024,1024,1048576,1.0,37.68573,43.857765,41.976471,39.509727,43.716427,40.387226,0,0,0,255,255,255,Test-Rural,41.173322000000006,41.204460000000005,-6.172035000000001,1.881294000000004,-4.290740999999997,-4.469042478282393,-4.703512425298247,-4.55981756159794,0.8106024479445862,1.893557152569858,1.4991501723685365,-4.615071335674363,1.4340131529714872,0.21696689026495183,-0.8000577624415168,-0.3855313016997906,9.67307969863901
Train,Urban,2248,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/2248.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/2248.png,True,1024,1024,1048576,1.0,138.494568,135.547302,131.467407,52.374741,45.434887,43.236816,0,8,0,255,255,255,Train-Urban,135.169759,47.015481333333334,2.947265999999985,4.079894999999993,7.027160999999978,4.408249287367524,4.108985074562654,3.7656422692870923,1.817133320655505,1.3845556545047708,1.3367386087080693,4.1260546317278575,1.5494229201304761,2.8007951279745575,0.9708574863460163,2.7950970994670805,9.670932913055646
Train,Rural,679,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/679.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/679.png,True,1024,1024,1048576,1.0,105.736496,107.321411,123.160225,61.461498,51.733192,67.470711,0,0,0,255,255,255,Train-Rural,112.07271066666665,60.221800333333334,-1.5849149999999952,-15.838814,-17.423728999999994,1.9697943645878357,2.007201076405935,3.6972141161811707,2.4274320473832423,2.452966166598467,4.29822125399368,2.5657460517602573,3.122491214262005,0.9431390060054017,-3.7961896770537713,-2.5244119908616303,9.485185336190888
Train,Rural,126,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/126.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/126.png,True,1024,1024,1048576,1.0,139.005981,125.423546,123.423943,57.239937,48.902836,37.737812,10,5,6,255,255,255,Train-Rural,129.28449,47.960195,13.58243499999999,1.9996030000000076,15.582037999999997,4.004744125938387,3.3379296246310415,3.7172898249120787,2.0123046530502724,2.1016767709669875,0.9021136457212189,3.791581507522784,1.7231195909847017,3.862542214408731,-0.6113985366332343,2.5675760541551758,9.460916256225435
Test,Rural,4847,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4847.png,,False,1024,1024,1048576,1.0,58.283169,60.936138,59.956306,57.683746,57.771935,56.843441,0,0,0,255,255,255,Test-Rural,59.72520433333333,57.43304066666667,-2.652968999999999,0.9798320000000018,-1.673136999999997,-1.914531770384422,-2.499789098751758,-2.236514161670248,3.825438435760371,4.051923685750641,3.868144256629007,-2.2317953395768826,3.9607075855638945,2.0498505916912695,-1.4201035041288474,0.96614157834218,9.42078042311946
Test,Rural,4737,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4737.png,,False,1024,1024,1048576,1.0,44.966251,49.041752,47.445732,48.147278,49.881237,48.265038,0,0,0,255,255,255,Test-Rural,47.151244999999996,48.76451766666667,-4.075501000000003,1.5960200000000029,-2.479481,-3.566106494174075,-4.034591968038428,-3.8530951319209197,2.243461057886296,2.8402265712360646,2.6332195817021007,-3.8471147404117647,2.6110696071862063,1.3089336218028422,-0.9962756051393918,0.5497633497084499,9.407514453854423
Val,Rural,2765,/mnt/e/Computer Vision/data/LoveDA/Val/Rural/images_png/2765.png,/mnt/e/Computer Vision/data/LoveDA/Val/Rural/masks_png/2765.png,True,1024,1024,1048576,1.0,140.256638,123.802444,116.707947,48.652466,41.559368,37.764324,10,0,0,255,255,255,Val-Rural,126.922343,42.65871933333333,16.454194000000015,7.09449699999999,23.548691000000005,4.355933257373028,3.55360919686344,2.917375840733927,1.7003055839178796,1.42831357893394,1.164287565299945,3.8874078970477024,1.490813627452223,3.2680197525854595,2.0249453425692283,3.0855838493764787,9.382734613162672
Train,Rural,288,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/288.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/288.png,True,1024,1024,1048576,1.0,132.986664,126.930405,111.804169,67.385696,46.638828,47.364258,0,0,0,255,255,255,Train-Rural,123.90707933333333,53.79626066666666,6.056258999999997,15.126235999999992,21.18249499999999,3.636568673488693,3.4487022097128524,2.83272677520375,3.009988329112344,1.8206796094704,2.001651450670007,3.4085984046294358,2.3891681599526366,2.413907986187708,1.7321717746758796,3.4315905183738273,9.351678139888506
Train,Urban,1727,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1727.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1727.png,True,1024,1024,1048576,1.0,136.464325,132.291061,129.521576,49.581345,44.663582,41.538612,7,19,17,255,255,255,Train-Urban,132.75898733333335,45.26117966666666,4.173263999999989,2.769485000000003,6.942748999999992,4.268097763002211,3.8717135528453475,3.629361839560553,1.4726329375050657,1.285921461367695,1.1091392804302656,3.9545697942138656,1.3199474213976936,3.260610640724749,0.48603082722294977,2.7717177144007,9.346798044540046
